acid,"酸;;;acerb,acid,acri,acu:尖，酸;"
acerbic,(v.) 苦澀的，刻薄的;
exacerbate,(v.) 加重，惡化;;[類] aggravate
acrimonious,(a.) 尖苛的，嚴厲的;
acrimony,(n.) 尖苛，刻薄;;<-> civility; comity;
acuity,(n.) 敏銳;
acumen,(n.) 精明;
acute,(a.) 靈敏的;
activate,啟動;;;act:行動;
reactionary,(a.) 保守的，反動的;
exactitude,(n.) 正確性，精確性;
exacting,(a.) 嚴格的，嚴厲的;
agile,"靈敏的;;;ag,ig:做，動;"
agitated,(a.) 激動的，不安的;
exigent,"(a.) 警急的，要求多的;;== critical, acute;;EX: exigent circumstances;;(記法：exit(出口)+ig(做，動)->向出口衝->緊急的)"
prodigal,"(a.) 非常浪費的，揮霍的;;== extravagant, profligate, spendthrift, squandering;;<-> economical, frugal, thrifty;;(記法：pro(向前)+dig(挖)+al(=all所有)->挖出所有的存款->揮霍的);"
agony,痛苦，極大的痛苦;;;agon:掙扎，打鬥;
antagonistic,(a.) 敵對的，對抗性的;
protagonist,(n.) 主演，主角，主唱者;;(記法：主角都很痛苦)
agriculture,"農業;;agr, egr:田地，農業;"
agrarian,(a.) 土地的;
peregrinate,(n.) 遊歷，旅行;;(記法：per(完全)+egr(=agr田地)->遊歷，旅行)
coalesce,"(v.) 聯合，合併;;(記法：co, col, com, con共同+al成長)"
coalition,"(n.) 同盟，聯合;;(記法：co, col, com, con共同+al成長)"
nostalgia,思鄉病;(記法：nost(家)+alg(痛)+ia 那是他的家);;alg:痛;
analgesic,(a.) 鎮痛劑，止痛的;
alien,外星人;;alien:疏遠;
alienation,(n.) 疏遠，離間;
inalienable,(a.) 不可剝奪的;
altitude,高度;;alt:高
exalt,"(v.) 讚揚，歌頌;;== extol, laud;;<-> lambaste(嚴厲指責), pan(嚴厲批評), deprecate(輕視，抗議), excoriate(批評), disparage(藐視，貶損), vilify(毀謗);"
alter,"改變;;alter, altr:改變，其他;"
alternative,(a.) 輪流的，交替的;
altruism,(n.) 利他主義;(記法：altru(其他)+ism(主義))
amiable,和藹的，親切的;;am:愛
amity,(n.) 親善，國與國之間的友好關係
enmity,(n.) 敵意，不合
enamored,(a.) 迷戀的
inimical,(a.) 有敵意的，不合的
ample,充足的，豐富的;;ampl:大
amplify,(v.) 放大，詳述
ancestor,祖先，祖宗;;ances:原始的
ancestry,(n.) 家系
animal,動物;;anim:生命，精神
animadvert,(v.) 批評，非難;(記法：anim(心智)+ad(在)+vert(轉)->壞事使得大家都注意->批評)
animosity,(n.) 憎恨，仇恨;(記法：animo(=animal動物)+sity(=city城市)->動物恨城市)
animus,(n.) 敵意，憎恨
pusillanimous,"(a.) 膽小的;(記法：音讀pussy(小貓)->膽小的);== cowardly, timid;"
unanimous,(a.) 全體一致的;(記法：uni(一個)+anim(生命))
annual,"一年的，年度的;;ann, enn:年"
perennial,(a.) 終年的，永久的;;(記法：per(完全)+enn(年))
anthropology,人類學;;anthrop:人
misanthrope,(n.) 憤世忌俗者;(記法：mis(恨)+anthrop(人))
philanthropic,(a.) 博愛的，仁慈的，慈善的;;(記法：phil(愛)+anthrop(人))
antique,"古代的，古董的;;ante, anti:先前"
antiquated,"(a.) 過時的，陳舊的，老式的;== obsolete, archaic, outmoded;"
adept,"熟練的，內行的;;apt,ept,eft:能力"
adaptive,(a.) 適應的;
apt,"(a.) 適合的，易於....的，有....傾向的;;== suitable, appropriate;"
deft,(a.) 靈巧的;== skillful and quick
inept,(a.) 無能的，不恰當的
aquarium,"魚缸，水族館;;;aqua, aque:水"
aqueous,(a.) 水的
arbitrary,專橫的，不理智的;;arbit:判斷，裁決
hierarchy,"階層，等級制度;;arch, archy:統治"
patriarchal,(a.) 家長的，父權制的;;(記法：patri(父親)+arch(統治))
art,技巧，藝術
artifice,(n.) 奸計，詭計;(記法：arti(技巧)+fic(做)+e);;== clever trickery; deception;
article,"文章，論文;;articul, artic:清楚地說"
articulate,(a.) 清楚表達，口齒伶俐的;
asperity,嚴酷，粗魯;;asper:粗魯
exasperate,(v.) 激怒，使惱怒
astronomy,"天文學;;aster, astr:星星"
asteroid,(n.) 小行星
astronomical,(a.) 天文學的，龐大的
auction,"拍賣;;auc, aug, aut, aux:增加"
augment,(v.) 增加
august,(a.) 威嚴的，高貴的
authentic,(a.) 可信的，真實的，可靠的
authoritative,(a.) 威權的，官方的，專斷的
auxiliary,(a.) 輔助的，協助的;(記法：促進增加的：輔助的)
audacious,大膽的，無謂的，愚勇的;== daredevil;;;aud:大膽
aviation,"航空，飛行;;avi, avis:鳥"
avid,"(a.) 熱情的，熱心的;== eager, greedy;"
ban,禁止
banish,(v.) 放逐
abase,降低自己，使卑下;;base:基礎
base,(n.) 基礎;(a.) 卑賤的;<-> baseless 無事實根據的
debase,(v.) 貶低，貶損
combat,戰鬥;;bat:打
lambaste,(v.) 痛打，痛罵;== thrash;
abate,減輕，減少;(n.) abatement;;bate:減少，減弱
benefit,"好處;;ben, bene:好"
benefactor,(n.) 行善者，捐助者;;(記法：bene(好)+fact(做))
beneficent,"(a.) 慈善的，仁愛的，有益的;(記法：bene(好)+fic(做));;== generous, charitable;"
benign,"(a.) 良性的，無害的;== kindly, gentle;"
benevolent,(a.) 善心的，仁心的;
