party,黨派，政黨;;part:部份，分開
counterpart,(n.) 相對應的人或物
impart,(v.) 分給，給予，傳授，傳達
impartial,(a.) 公平的，無私的
partial,(a.) 局部的，偏袒的
particulate,(a.) 微粒的，微粒
partisan,(n.) 支持者，黨徒;
surpass,勝過，優於;;pass:通過
impasse,(n.) 僵局，死路;== deadlock;
pathetic,"引起同情心的;;passi, pati, path:感情，受苦，疾病"
antipathy,"(n.) 反感，厭惡;== animosity, animus, antagonism, rancor;;<-> affection 友愛;;(記法：anti(反)+path(感情)+y)"
apathetic,(a.) 無感情的;== (n.) apathy;;(記法：a(無)+path(感情)+y)
compatible,(a.) 和諧共處的，相容的;(記法：com(共同)+pat(感情)+ible->有共同感情的->相容的)
compassionate,(a.) 有同情心的
dispassionate,(a.) 不被感情所動的，冷靜的;== impartial;
empathy,(n.) 同理
impassioned,(a.) 充滿激情的，慷慨激昂的，熱烈的;(記法：音讀[怕神]->趕快做好事->沒有浪費生命->熱情的，激情的)
impassive,(a.) 不漏情感的，無動於衷的，冷漠的;== (n.) impassivity;;(記法：音讀[怕死]->裝死->冷漠的，無動於衷的)
passivity,(n.) 被動，消極;
pathological,(a.) 病理上的，病態的
pathos,(n.) 激起憐憫的因素，感傷力
patriot,(n.) 愛國者，愛國主義者;;patri:家長，國家
impeccable,無懈可擊的，沒有缺點的;;pecc:斑點
peccadillo,(n.) 輕罪，小過，小瑕疵
peculate,挪用，盜取;;pecun:錢
impecunious,(a.) 一文不名的，貧困的
pecuniary,(a.) 金錢的，錢財方面的
pedal,踏板，腳凳;;ped:腳
expedient,(a.) 方便的，權宜的;(記法：ex(外)+ped(腳)+ient->機車沒油，腳向外踩地推車->權宜之計->權宜的)
impede,(v.) 妨礙，阻礙，阻止;[類] hamper
pedestrian,(a.) 徒步的，缺乏想像的
pejorative,(a.) 貶抑的，輕蔑的
peripatetic,(a.) 到處走動的，流動的;== itinerant;;(記法：peri(周圍)+pat(=pad)->到處走的，巡迴的)
