replicate,"折疊，複製;;pli, plic:彎，折，重疊"
compliance,(n.) 順從，遵從
duplicate,(a.) 完全一樣的，複製的，副本的;(記法：du二，雙);== identical;
duplicitous,(a.) 搞兩面派的，奸詐的;
duplicity,(n.) 欺騙，口是心非
explicable,(a.) 可解釋的，可辨明的
explicit,(a.) 詳盡的，清楚的，明確的
inexplicable,(a.) 無法說明的，難以理解的，莫名其妙的
explore,探究，考察;;plore:喊
deplorable,(a.) 悲慘的，應受譴責的;== (v.) deplore 對...感到遺憾，譴責，悲痛
extrapolate,推斷;(記法：extra外面+pol放->像外面放話->預測，推斷);;pol:放
politics,政治;;pol:市民
cosmopolitan,(a.) 世界性的，國際性的
impolitic,(a.) 不明智的
politic,(a.) 明智的，精明的，慎重的
pompous,"浮華的，愛炫耀的;== arrogant, bombastic;;;pom, pomp: splendor 華麗"
ponder,仔細考慮，衡量;;ponder:重量
ponderous,(a.) 笨重的，笨拙的;== lively;
preponderate,(v.) 壓倒，超過
import,進口;;port:拿，運
opportune,(a.) 恰好的，適宜的
opportunistic,(a.) 機會主義的，投機取巧的
purport,(n.) 聲稱，意指;(記法：pur(=pro向前)+port拿->摘要，主旨寫在文章之前->聲稱，意指，主旨)
posture,姿勢;;pos:放
apposite,"(a.) 適當的，貼切的;== appropriate, apt, relevant, applicable, applicative, apropos, pertinent;;<-> opposite, extraneous無關係的;"
imposing,(a.) 莊麗的，宏偉的
imposter,(n.) 冒充者，騙子
juxtapose,(v.) 並排，並置
posit,(v.) 斷定，認為;== postulate;
predisposition,(n.) 傾向，素質
repository,(n.) 容器，儲藏處，寶庫
potential,淺在的，有可能性的;;pot:力量
despotic,(a.) 暴君的，暴虐的，專橫的
omnipotent,(a.) 全能的，萬能的
potent,(a.) 強而有力的，有影響力的;<-> impotent;
deprave,使墮落，使惡化;(記法：de向下+prave音讀play->整天在下面玩->墮落);;prav:壞
deprecate,反對，輕視;;prec:祈禱
precarious,(a.) 不穩的，危險的;== uncertain;
comprehend,"理解，了解;;prehend, prehens:抓住"
apprehend,"(v.) 理解，逮補，恐懼;== seize, arrest;"
comprehensive,(a.) 全面的，綜合的
misapprehension,(a.) 誤會，誤解
impressive,印象深刻的;;press:壓
pressing,(a.) 緊迫的，迫切的
repress,(v.) 壓抑，抑制，鎮壓
suppress,(v.) 鎮壓，抑制
unimpressed,(a.) 沒有映像的
primary,"主要的;;prim, pri:第一，最早"
primal,(a.) 最初的，原始的
primacy,(n.) 卓越，第一位
primitive,(a.) 原始的，遠古的，基本的
priority,(n.) 在先，居前
pristine,(a.) 原始的，清新的，淳樸的
deprive,剝奪，使喪失;;priv:剝奪，私人的
privy,(a.) 個人的，私人的
prove,"證明;;proof, prove:證明"
approbation,"(n.) 稱讚，認可，批准;== approbatory (a.), approval, consent;;<-> disapprobation;"
probity,"(n.) 誠實，廉潔;== honesty, character, decency, goodness, integrity;;(記法：probity形近probability->要遇到誠實的人是很獎機率的)"
reproof,(n.) 斥責，責備
reprove,"(v.) 告誡，好言相勸;== admonish, censure;"
propaganda,政治宣傳;;propagare: extend 延伸
propagate,(v.) 繁殖，傳播，宣傳
appropriate,(a.) 適當的，恰當的，相稱的;(v.) 挪用;== pilferage 行竊，偷;;;prop:挪用，適當，恰當
apropos,(a.) 適當的，切題的，中肯的
malapropism,(n.) 文字誤用
proprietary,(a.) 私有的
propriety,(n.) 禮節，適當
prose,:散文體
prosaic,(a.) 乏味的，散文的
approximate,大約的，估計的;;proxim:接近
proximity,(n.) 接近，鄰近
prudent,謹慎的，小心的;[記法] 普丁很謹慎;;prud:小心
imprudent,(a.) 不謹慎的，輕率的，魯莽的;<-> prudent;
impudent,魯莽的，無禮的;;pud:感到羞恥的
repudiate,"(v.) 否認，拒絕，拋棄;== reject(拒絕), recant(撤回自己主張);(記法：re一再pudi音讀布丁->拒絕一再吃布丁)"
repugnant,"(a.) 厭惡的，反感的;[類] abhorrent;;pugn, pugil: 打架，爭吵"
impugn,(v.) 指責，對....表示懷疑
pugnacious,"(a.) 愛爭吵的，愛爭鬥的;[類] aggressive, truculent, bellicose"
impulse,"衝動，刺激;;puls, vuls:推，衝"
compulsory,(a.) 強制性的，命令性的;== obligatory;
impulsive,(a.) 衝動的，易衝動的
repulse,(v.) 擊退，驅逐，使厭惡，使產生反感;;== repel;
punctual,"準時的，守時的;;punc, pung:刺，點"
compunction,(n.) 懊悔，良心不安
punctilious,(a.) 精密細心的，一絲不苟的;(記法：注意到每一個點)
puncture,(n.) 刺穿，刺破
purify,"使純潔，淨化;;pur, purg:純潔，清洗"
queer,奇怪的，古怪的;;quer:怪
quirky,(a.) 離奇的，古怪的
tranquil,平靜的，安寧的;;qui:平靜，安靜
acquiesce,(v.) 勉強同意，默許
acquiescence,(v.) 默認，默許
quiescent,"(a.) 靜止的，沈默的;== inactive, passive, quiet;"
erase,"擦掉，抹去;;rac, rad, ras, raz:刮，擦"
abrasive,(a.) 有研磨作用的，有磨蝕作用的
eradicate,(v.) 根除，撲滅
irascible,(a.) 易怒的，暴躁的
rape,強暴;;rap:奪取
rapacious,(a.) 搶奪的，貪婪的;
