rectangle,長方形;;rect:直
rectitude,(n.) 公正，正直
resurrect,"(v.) 始復活，使復甦;== reanimate, recharge, regenerate;;(記法：re再+sur(超，上)+rect(直立)->在一次向上直立->使復活)"
regulate,"管制，調整;;reg, reign:統治"
regime,(n.) 政權，政治制度
regimental,(a.) 團的，團隊的
rein,(n.) 駕馭，控制，統治
sovereign,(a.) 最高統治者，元首
reptile,爬行動物，爬蟲類;;rept:爬
surreptitious,(a.) 祕密的，偷偷摸摸的，鬼鬼祟祟的
ridiculous,"荒謬的，可笑的;;rid, ris:笑"
deride,(v.) 嘲笑，朝弄
ridicule,(n.) 奚落，嘲笑
rigid,嚴格的，剛硬的;== stiff;;;rig:硬
rigor,(n.) 嚴格，嚴苛，精確;== severity;
rigorous,"(a.) 嚴格的，嚴峻的;== severe, strict;"
derivative,"非原創的，衍生的;== derive;;;riv, river:河流"
rife,(a.) 充斥著的，大量的;== common;
riveting,"(a.) 有吸引力的，引人入勝的;== engrossing, enthralling;;(記法：rive=river->河濱公園總是很吸引人的)"
robust,強健的;== vigorous;;rob:力量
corroborate,(v.) 證實，確認;== corroborative (a.);
arrogant,傲慢的，自大的;= hubris;(記法：過份要求的);;rog:要求，詢問
derogate,(v.) 貶低，誹謗
interrogate,(v.) 詢問，審訊;(記法：inter(互相)+rog詢問+ate->審問)
prerogative,(n.) 特權;(記法：pre預先+rog要求+tive->預先要求的權力->特權)
surrogate,(n.) 代替人，代理人
rough,"粗略;;rud:無知,原始"
erudite,(a.) 博學的;(記法：e出+rud無知)
rudimentary,"(a.) 基本的，初步的;[類] incipient, inchoate, embryonic"
rugged,高低不平的，崎嶇的;;rug:皺
shrug,(v.) 聳肩
bankrupt,破產的;;rupt:斷，破碎
disrupt,(v.) 使分裂，使瓦解
sacred,"神聖的，莊嚴的;;sacr, secr:神聖"
sacrosanct,(a.) 神聖不可侵犯的;(記法：sacro=sacri神聖+sanct=saint聖人->又神聖又聖人->神聖不可侵犯)
salute,行舉手禮，向...致意;;sal:健康
salubrious,(a.) 有益健康的，清爽的
salutary,(a.) 有益的，有益健康的;== salubrious 有益的
assault,"突然襲擊，猛襲;;sal, sult:跳"
assail,(v.) 抨擊，猛攻;== assailable;
desultory,"(a.) 無計畫的，無目的的，不連貫的，散漫的;== digressive, excursive, meandering, rambling, wandering(無目的的);;<-> assiduous 勤奮的;"
salient,(a.) 顯著的，突出的;== conspicuous;;EX: a salient feature;(記法：殺人了->大家看到快跑->顯著的，突出的)
sanction,認可，批准，國際制裁;;sanc:神聖
sanctimonious,(a.) 假裝虔誠的，假裝聖潔的;(記法：sanct神聖的+moni音讀模擬->模擬神聖的->假裝虔誠的)
sanguine,"(a.) 自信樂觀的;== confident, optimistic;;(記法：毀三觀(世界觀、人生觀、價值觀)之前是自信的);;sang: blood血"
saturated,滲透的，飽和的;;sati:滿
insatiable,(a.) 不知足的，貪得無饜的
sate,(v.) 使心滿意足，使厭膩;== cloy;
satiate,(v.) 使飽足
savvy,有見識的，精明能幹的;;sac: 智慧
sagacious,(a.) 彙智的，聰敏的
escalator,電扶梯;;scal:攀，爬
escalate,(v.) 升級、擴大、上升
ascend,"上升，攀登，上坡;;scan, scend, scent: climb攀，爬"
ascendancy,(n.) 優勢，統治權，支配力量
condescending,(a.) 屈尊的;(記法：condescend輕慢，屈尊)
transcendent,(a.) 超越的，卓越的
conscience,良心，是非感;;sci:知道
conscientious,(a.) 盡責的，小心謹慎的
omniscient,(a.) 無所不知的，博識的;(記法：omni全+sci知道)
prescient,(a.) 有先見的，預知的
unconscionable,(a.) 無節制的，過度的，非常遭的;== excessive;
scissor,"剪刀;;sciss, scind:切，割"
schism,(n.) 分裂
describe,"描述，形容;;scribe, script:寫，紀錄"
circumscribe,(v.) 限制;== confine;;(記法：circum環繞+scribe寫->劃地自限，限制)
inscription,(n.) 銘刻，題字
prescription,(n.) 命令，指示，規定，法規
proscribe,(v.) 禁止，剝奪...的公權，放逐
subscribe,(v.) 捐助，訂購;(記法：sub(下面)+scrib(寫)->簽名同意)
transcribe,(v.) 抄寫，謄寫;(記法：trans(轉換)+scribe(寫))
scrutinize,詳細檢查，細讀;;scrut:理解
inscrutable,(a.) 高深莫測的，神秘的;== mysterious;
intersection,十字路口;;sect:切
bisect,(v.) 把...一分為二，二等分某物;(記法：bi雙+sect切)
sectarianism,(n.) 宗教派主義
consecutive,連續不斷的;;secu:跟隨
inconsequential,"(a.) 不重要的，微不足道的;== trivial, irrelevant;"
obsequious,"(a.) 逢迎的，諂媚的;== fawning, ingratiating, flattering, sycophantic;"
sequacious,(a.) 順從的，缺乏獨創性的
sediment,沈積，沈澱;;sed:坐
sedative,(n.) 鎮定劑，使安靜的，使鎮靜的
sedulous,(a.) 勤勉的
supersede,(v.) 淘汰，取代
assemble,集合，聚集，裝配;== collect;;;semble:和....相像
dissemble,(v.) 隱藏，掩飾;(記法：dis否認+semble相同->假裝，掩飾);== dissimulate;
resemble,(v.) 與....相似的，像
seminar,研討會;;semin:種子
disseminate,(v.) 散布，傳播;[類] promulgate
seminal,(a.) 開創性的，種子的，有發展性的
consent,"(n)同意;允許;(vi)同意;;sent, sens: feeling感覺"
assent,"n. 同意,贊成"
consensus,n. 意見一致
dissent,"vi. 不同意, 持異議;n. 不同意，異議"
sentiment,"n. 多愁善感,情緒"
assert,"斷言，主張;== assertion (n.), assertive (a.);;;sert:斷言"
preserve,保存;;serv:保存，服務
conservative,(a.) 保守的，守舊的;(記法：conservatism 保守主義)
observant,(a.) 注意的，當心的
servile,(a.) 奴性的，百依百順的
subservient,(a.) 奉承的，卑屈的，出當下手的;(記法：sub下面+serv服務->在下面服務->次要的)
undeserved,(a.) 不應得的
president,總統，總經理;;sid:坐
assiduous,(a.) 勤勉的，專心的
dissident,(a.) 異議者，持不同意見者，唱反調者;(記法：dis分開+sid坐)
insidious,(a.) 隱藏詭計的;(記法：in內+sid坐+ious -> 坐在裡面的間諜)
subside,"(v.) (房屋)下陷, 平息;(記法：sub下面+sid坐->坐下去->下陷)"
