contain,"包含，容納;;tain, ten, tin:保持，維持，抓住"
abstain,(v.) 禁絕，放棄;(記法：abs(不)+tain(抓著)->不抓住->放棄)
abstentious,(a.) 禁慾的，有節制的
abstinent,(a.) 飲食有度的，有節制的
countenance,(n.) 面部表情，面容，贊成，支持;(記法：contain(控制)->控制面容保持禮貌)
maintain,(v.) 堅持，主張，維護，維持
pertain,(v.) 屬於，關於；相關，適用
pertinent,(a.) 有關的，相關的
impertinent,"(a.) 粗魯無禮的，不切題的，不中肯的;== insolent, impudent, rude;;(記法：im(不)+pertinent(恰當的)->不恰當的->言行無禮的)"
tenable,(a.) 站得住腳的，經得起批判的
tenacious,(a.) 堅持的，頑強的，固執的
tendentious,(a.) 有偏見的，傾向性的
untenable,(a.) 難以防守的，不能防守的
protect,保護;;tect:遮蓋
detect,(v.) 洞察，查明;(記法：de除去tect遮蓋)
detection,(n.) 查出，探獲
temperate,溫和的，適度的;;tem:節制
abstemious,(a.) 有節制的，節儉的;== moderate;;(記法：abs不+tem節制)
intemperance,(v.) 放縱，不節制;(記法：in不+temperance節制)
temple,廟;;templ:廟
contemplate,"(v.) 沈思，凝視;== (n.) contemplation, (a.) contemplative"
temporary,臨時的，暫時的;;tempor:時間，時代
extemporize,(v.) 即席發言，即興演奏;== improvise;;(記法：ex出+tempor時間+ize->再安排時間之外演講或表演->即時發言，即興演奏)
temporal,(a.) 時間的，世俗的
extend,"延伸;;tend, tens, tent:拉，伸"
contentious,"(a.) 好辯的，善爭吵的;== (n.) contention, (v.) contend;"
distend,(v.) 使膨脹，漲大;(記法：dis分開+tend伸張->四面伸張->膨脹)
portend,"(v.) 預示，預先警告;== foreshadow, forebode, presage;;(記法：por, pro向前+tend拉，伸)"
portentous,"(a.) 預視未來的，凶兆的，徵兆不詳的;;(記法：pro, por向前+tend拉，伸)"
tonic,(a.) 使人精神振奮的，滋補的;
tenuous,"稀薄的，空洞的;== thin, slender;;tenu:薄"
attenuate,(v.) 變薄，變弱;== attenuation;
extenuate,(v.) 掩飾，減輕罪過;(記法：使薄，使微不足道)
terminate,終止，結束;;term:邊界，結束
exterminate,(v.) 消滅，滅絕
interminable,(a.) 無盡頭的
terror,恐懼，驚恐;;terr:使驚恐
deterrent,(a.) 威嚇的，遏止的
synthesize,"綜合，合成;(記法：syn共同+thes放+ize->放到一起);;thes, thet:放"
antithetical,(a.) 相反的，對立的;== antithetical
photosynthesis,(n.) 光合作用
timid,膽小的，易受驚的;;tim:害怕，恐懼
intimidate,(v.) 威嚇，脅迫
timorous,(a.) 膽小的，膽怯的;== timid
atom,原子;;tom:切，割
anatomical,(a.) 解剖的，解剖學的
dichotomy,(n.) 分裂，二分法
epitome,(n.) 典型，摘要;(記法：epi在...之上+tome切割->修剪而成的)
tone,"語氣，腔調;;ton, tun:聲音"
attuned,(a.) 理解的，通達的;== attune 使調和
monotonous,(a.) 單調的，無聊的;== boring or tedious;(記法：mono單一+ton聲音+ous)
distort,扭曲，弄歪;;tort:扭曲，彎曲
distortion,(n.) 扭曲，曲解
torment,(n.) 折磨，痛苦
tortuous,(a.) 迂迴曲折的
tour,:旅行
detour,(n.) 繞道，繞行的路
toxic,有毒的，有害的;;toxic:毒，傷害
intoxicate,(v.) 使沈醉，使欣喜若狂，使喝醉
transcation,交易;;trans:橫過，穿過
intransigent,(a.) 不妥協的，不讓步的;== stubborn;;[記法] in(不)+trans(=transparent透明) -> 不穿透 -> 不妥協的
transient,"adj. 短暫的、轉瞬即逝的、一時的;[類] transitory, ephemeral;[反] lasting, persistent(持久的)"
transience,n. 頃刻、無常、稍縱即逝
transitory,(a.) 短暫的，一時的
distract,分心，轉移;;tract:拉，拖
detract,(v.) 貶低，毀謗;(記法：de向下+tract拉)
intractable,"(a.) 倔強的，難管的;== recalcitrant, intransigent;;<-> tractable, docile;;EX: Poverty is a particularly intractable and confounding(使混亂) problem;;(記法：in不+tract拉+able->拉不動的)"
protract,(v.) 延長，拖長;(記法：pro前+tract拉->向前拉->延長);== lengthen or prolong;
retract,(v.) 收回，縮回;== withdraw;
tractable,"(a.) 易於駕駛的，溫順的;== docile;;<-> recalcitrant, intransigent;"
retreat,後退，撤退;;treat:拖，拉
entreat,(v.) 懇求，乞求;== beg;
treatise,(n.) 論文，專著
tremor,顫抖，震顫;;trem:顫抖
tremulous,(a.) 顫抖的，震顫的
intrepid,"無畏的，剛毅的;== fearless, brave;;[記法] trepid 畏懼的：音同「踹屁股」;;trep: 害怕"
trepidation,(n.) 恐懼，慌恐
distribute,分配，分發;;tribut:給予，贈與
tribute,(n.) 進貢，貢物，貢金
intricate,"複雜難懂的;= convoluted;;tric, trick, perplexities: 複雜，迷惑"
intrigue,(v.) 密謀，引起極大興趣
treacherous,"(a.) 危險的，背叛的，不可靠的;== perfidious 背叛的, unreliable 不可靠的;;(記法：音讀踹老師->背叛的，危險的)"
trenchant,"(a.) 犀利的，鋒利的;== incisive, penetrating;;(記法：音讀[穿透的]->言詞犀利的，鋒利的)"
attrition,"摩擦，磨損;;trit, trib:摩擦"
contrite,"(a.) 悔罪的，痛悔的;== penitent, repentant;"
diatribe,(v.) 抨擊;== philippic;
intrude,"強加於，闖入;(記法：in內+trud伸+e->伸不進去);;trud, trus:伸，伸出"
abstruse,(a.) 深奧的，難懂的;(記法：abs不+trus伸+e->伸不進去)
obtrude,(v.) 突出，強加
unobtrusive,(a.) 不唐突的，不冒昧的，謙虛的;;== discreet;
tumor,腫瘤;;tum:腫脹，驕傲
