flout,"v.藐視,輕蔑,嘲笑"
fluctuate,v.波動；變動
flummery,"n.胡說、虛假恭維;[記法]音讀""唬你的""->假恭維,胡說"
foil,"v.挫敗,阻擾,使受挫折;[記法]foil看似fail失敗->阻擾;The prisoners' attempt to escape was foiled at the last minute when police received a tip-off."
forage,v.搜尋、掠奪;to search for something (such as food or supplies);n.（馬等家畜的）草料，飼料;food grown for horses and farm animals;[記法] for age 義為「花了好幾百年的時間」->覓食是一輩子的事情
forbear,v. 忍耐；抑制;[類]n.forbearance;to choose not to do (something that you could do) : to avoid doing or saying (something)
forebode,"v.預示, 預感;[類]foretell,portend;[記法]fore音讀""佛""+bode音讀""播的""->佛播的電台->預示,告示"
foreshadow,"v.預示 預兆;[類]presage, portend;[記法]fore前+shadow影子->影子前來->預示物體即將到來"
forgo,v.放棄，拋棄;;[記法]你走吧
formidable,"adj 可怕的,令人畏懼的;[記法]form(形成)+id(=ID 身分證)->做假證件結果是可怕的;=frightening; awesome"
forthright,adj.直率的；直接的;[記法]forth 向前的;=straightforward;His forthright manner can be mistaken for rudeness.
fortuitous,adj. 偶然的;The collapse of its rivals brought fortuitous gains to the company.
foster,v.鼓勵；促進；養育;to encourage the development or growth of ideas or feelings;=encourage or promote;[例]I'm trying to foster an interest in classical music in my children.
fraught,a.充滿...的、令人擔憂的、令人憂慮的;[例1.]Every room in my childhood school is fraught with memories.;[例2.]This is one of the most fraught weekends of the year for the security forces.
frugal,"a.節約的,儉樸的;[類]thrifty,economical,sparing;[反]profligate;extravagant;a frugal lifestyle;[記法]形似fruit->三餐吃水果很簡樸"
furtive,adj.偷偷的、秘密的、鬼鬼祟祟的;[類]surreptitious; stealthy; sneaky; shifty
futile,a.無益的，無效的，無用的;(of actions) having no effect or achieving nothing; unsuccessful;[例]It's quite futile trying to reason with him - he just won't listen.;;[記法]扶不起的阿斗->無益的
gainsay,v. 否認，反駁;[類]deny;[記法]gain(=against)+say->否認
galvanize,"v.刺激,激勵,促使,鍍鋅;to stimulate or excite as if by an electric shock"
garrulous,"a.喋喋不休的;[類]talkative;loquacious;voluble;verbose;[反]taciturn,reticent,concise;;[記法]哥嘞哥嘞很多的"
gauge,"n.標準厚度,標準寬度,測量;standard measure,esp.of width or thickness."
glean,"v.慢慢搜集,找尋;to gather or collect (something) in a gradual way"
glut,"v.過度供應(市場),過多,過剩;[類]surfeit;a supply of something that is much greater than can be sold or is needed or wanted;;[記法]lot"
gripe,"v. 抱怨, 訴苦;a strong complaint;[例]The students griped that they had too much homework."
hackneyed,"a.陳腐的;not interesting, funny, etc., because of being used too often : not fresh or original;;[記法]黑你的眼"
halfhearted,adj.不認真的、不熱心的;feeling or showing a lack of interest or enthusiasm
hamper,v. 妨礙，阻撓;[類] impede
harangue,n.慷慨激昂地演講；滔滔不絕地教訓;a forceful or angry speech;;[記法]她的憤怒
haughty,a. 傲慢的，自大的;unfriendly and seeming to consider yourself better than other people;[例]He rejected their offer with a tone of haughty disdain.;;[記法]哈哈你
haunt,"v.纏擾,煩擾,鬧鬼;to visit often"
hauteur,n.自負；傲慢;a formal and unfriendly way of behaving which suggests that the person thinks they are better than other people;=n. haughtiness
hectic,a.忙碌的;[記法]hectic音讀hacker(駭客)->駭客的生活總是忙碌的
hedonistic,(adj.) 享樂主義的;living for pleasure
heyday,(n) 全盛時期，鼎盛時期;;[記法]hey!日子來了
histrionic,a.矯揉造作的；戲劇的;[記法]形近history->歷史上的政治人物都是矯揉造作的;She put on a histrionic display of grief at her ex-husband's funeral.
hitherto,adv. 到目前為止、迄今、至今;until now
hodgepodge,"大雜燴;混合物;a mixture of different things;[類]patchwork,hotchpotch;;[記法]兩個單字加在一起->大雜燴, 混合物"
hone,"n.磨刀石;v.修飾,磨練;to sharpen an object;[例]The bone had been honed to a point."
honorific,(a)表示尊敬;giving or expressing honor or respect
hubris,"n.傲慢；自大；目中無人;[記法]hub(中心)+ris(=rise)->地球是中心,太陽繞地球升起->目中無人,驕傲"
hunch,n. 直覺，預感;[例]Sometimes you have to be prepared to act on/follow a hunch.
imbue,"v.灌输；使充满;to cause (someone or something) to be deeply affected by a feeling or to have a certain quality;[例]His poetry is imbued with deep, religious feeling.;[記法]音近「in肚」->使充滿,灌輸"
impeachable,v.可指責的，可彈劾的
impenetrable,"adj.不能通過的，不能穿過的,不可理解的;[反]penetrable"
imperil,"v.危及，使陷於危險;[記法]近peril(致命危險), perish(毀滅);=endanger"
impromptu,"adv.a.n.即興地, 事先無準備地;an impromptu party/performance"
inchoate,"a. 剛開始的、起初的、未完全發展的;not completely formed or developed ye;[類]incipient, rudimentary, embryonic;[記法]inch(英吋)+cho(音讀口)->口僅一英吋->起初的"
incisiveness,"n.深刻；敏銳;[記法]in(向內)+cis(切)->向內切的->深刻,敏銳"
indifferent,adj. 漠不關心的
indigent,"adj.貧乏的, 窮困的;[記法]in(=not)+dig(挖)->錢包挖不出錢->貧困的"
indulgent,a.縱容的；溺愛的;[記法] n. indulgence 飲，倒（酒）=> 放縱
industrious,a.勤勉的；勤奮的；勤勞的;=diligent
inhibited,adj．拘謹的，拘束的;not confident enough to say or do what you want;[例]The presence of strangers made her feel inhibited.
inquisitive,"a.好奇的;愛鑽研的;wanting to discover as much as you can about things, sometimes in a way that annoys people"
intelligible,"(a.)可理解的,易理解的,明瞭的;[例]She was so upset when she spoke that she was hardly intelligible."
interplay,n. 相互影響，相互作用;[例]Our personalities result from the complex interplay between our genes and our environment.
intrinsic,adj. 固有的，內在的，本質的
inure,v.使習慣；使適應於;[例]After spending some time on the island they became inured to the hardships
invective,n. a.謾罵的;[類] vituperation; diatribe
