rebellious,反抗的，難控制的;;bell:戰鬥，戰爭
bellicose,"(a.) 好戰的，好鬥的;== warlike, aggressive, truculent, pugnacious;"
belligerent,(a.) 發動戰爭的，好鬥的，好挑釁的;;== (n.) belligerance
hyperbole,(n.) 誇張(法)
belle,美女;;bell:美麗的
embellish,(v.) 美化，裝飾
bibber,酒鬼，貪酒的人;;bib:喝
imbibe,(v.) 飲，喝
forbid,禁止;(記法：for(禁止)+bid(命令));;bid:命令
forbidding,"(a.) 可怕的(外貌);== stern, threatening;"
blank,空白的，空的;;blanc:白色
blemish,(n.) 玷污，缺點;;(記法：blemish音讀[斃了米]->斃了你->衣服被弄到污點很生氣->瑕疵，污點)
bless,上帝祝福;;blis:幸福，恩典
blithe,(a.) 無憂無慮的
bomb,炸彈
bombastic,(a.) 誇誇其談的;== pompous
bon voyage,一路順風;;bon:好
boon,(n.) 好處，利益，恩惠
bounteous,(a.) 慷慨的，豐富的;== generous
abbreviate,"縮寫;sth shorten (a word, phrase), esp by omitting(刪除) letters;;brev:短"
brevity,(n.) 簡短，簡潔
debrief,(v.) 聽取匯報，向....詢問情況
accidental,"偶然發生的;;cad, cas, cid:落下"
casualty,(n.) 傷亡人員
coincide,(v.) 巧合，一致;(記法：co(共同)+in+cide(落下))
decadence,(n.) 衰落，頹廢;(記法：落到下面)
calorie,"卡洛里;;cal, chal:熱"
nonchalant,(a.) 無憂無慮的，莫不關心的
calcium,鈣;;calc:石灰，石頭
calculate,(v.) 計算;(記法：以石頭算數)
callous,(a.) cruelly(殘酷地) insensitive or unsympathetic; 無情的，硬結的;== heartless
recalcitrant,"(a.) 頑固的，難以控制的;== unruly, intransigent, refractory;;<-> docile, tractable;;(記法：像石頭一樣堅硬的);;EX: I am puzzled(困惑的) as to why the Ministry of Labor does not take more stringent(迫切的) action against recalcitrant employers;"
candle,"蠟燭;;cand, cend:白色，發光"
candid,(a.) 率直的;
incendiary,(a.) 放火的，縱火的;(n.) 燃燒彈，縱火犯
incense,"(n.) substance that produces a pleasant(舒適的) smell when burnt, used esp in religious ceremonies; 香;;(v.) 激怒;(記法：in(使)+cense(發光)->激怒)"
chant,"歌唱，背誦;;cant, cent, chant:唱，歌唱;"
accentuate,(v.) 強調，以重音讀出，加重音符號於;(記法：ac(加強)+cent(唱，說));== emphasize;
chantey,(n.) 船歌
incentive,(n.) 刺激，鼓勵;(記法：in(使)+cent(唱)->使人唱);== stimulus;
recant,(v.) 改變，放棄(信仰或聲明);== (n.) recantation;
capital,首都;;cap:頭
capitulate,(v.) 投降;(記法：低頭)
recapitulate,(v.) 扼要重述，概括;(記法：重新把重要的東西(頭)敘述)
capture,捕獲，俘虜;;cap:拿，抓住
capacious,"(a.) 容量大的，寬敞的;(記法：能抓住東西的->容量大的, capacity容量);== roomy;"
captious,"(a.) 吹毛求疵的;== carping, quibbling, censorious;;(記法：cap(抓住)+tious(多....的)->抓出別人很多的缺點->吹毛求疵的)"
captivate,"(v.) 迷惑，吸引;(a.) captivating 吸引人的;;== fascinate (sb.), charm, enchant;"
encapsulation,(n.) 概括;
holocaust,大屠殺，浩劫;;caus:燒
caustic,(a.) 腐蝕性的，刻薄的;
cave,洞;;cav:洞
excavate,(v.) 挖掘，挖出;(記法：ex(外)+cav(洞)+ate)
cavalry,"騎兵隊伍，武裝部隊;;caval, chival:騎馬"
cavalier,(n.) 騎士，武士;(a.) 傲慢的；目空一切的;People were often irritated by his cavalier attitude toward them. 人們常常被他目空一切的態度弄得惱火。;;漫不經心的；無憂無慮的;a cavalier reply 隨口作的回答
chivalrous,(a.) 武士精神的，對女人彬彬有禮的
proceed,"前進，舉行;;cede, ceed, cess:走"
concede,(v.) 承認，讓步;== (n.) concession 讓步;
incessant,"(a.) 不停的，連續的，持續不斷的;;== constant, unremitting, continual;;<-> sporadic 偶然發生的;"
precede,(v.) 在...之前，早於;(記法：pre(前)+cede(走))
precedent,(a.) 在先的，在前的
unprecedented,(a.) 前所未有的
predecessor,(n.) 前任，前輩，原先的東西
successively,(adv.) 接連低，連續低;suc下面cess走->接下面繼續走
accelerate,加速，促進;;celer:速度
celerity,(n.) 速度，快速，靈敏;== quickness
censor,審查，檢查;;cens:評估
censorious,(a.) 好批評的，好吹毛求疵的; severely critical;
censure,(v.) 責備，譴責; rebuke sb formally;
center,中心;;centr:中心
centrifugal,(a.) 離心的;(記法：centri(中心)+fugal(逃跑))
eccentric,"(a.) 古怪的，反常的;== unusual, peculiar;"
egocentric,(a.) 自我中心的;== self-centred
receive,"得到，收到;;ceive, cept:take"
deceive,(v.) == (n.) deceit 欺騙，詭計;
perceptive,(a.) 感知的，知覺的，有洞察力的;== perceptible 可以察覺的;
receptive,(a.) 善於接受的，從善如流的
susceptible,(a.) 易受影響的，易被感動的;
discern,分辨，辨別;;cern:分別
chastise,懲罰，譴責;;== (n.) chastisement;;;chast:純潔
Google Chrome,彩色;;chrom:顏色
chromatic,(a.) 彩色的
monochromatic,(a.) 單色的;(記法：mono(單一)+chrom(顏色))
synchronize,同步;;chron:時間
anachronistic,(a.) 時代錯誤的;;(記法：ana(不，錯誤)+chron(時間))
chronic,(a.) 慢性的，長期的; continually recurring;
chronological,(a.) 依時間前後排列而記載的
concise,"簡潔的;;cide, cise:殺，切，切割"
exorcise,(v.) 驅魔，除去(壞念頭);;(記法：exo(出，外)+r+cise(切))
pesticide,(n.) 殺蟲劑;(記法：pest(蟲)+i+cide(殺))
cil,細的(眉毛，毛);;cil:眉毛，毛
supercilious,(a.) 目中無人的; arrogant and disdainful(輕蔑的);;(記法：super(超)+cil(眉))
succinct,(a.) 簡明的，簡潔的;;(記法：suc(下面)+cinct(束起)->衣服束起做事->簡潔);;cinct:綁，束起
Cinderella,灰姑娘;;cinder:灰
incinerate,(v.) 焚化，毀棄
anticipate,預期，期待;;cip:拿，取
reciprocity,相互性，互惠
precipitate,降水，加速，魯莽的;;cip:落下
incipient,"(a.) 初期的，剛出現的(剛落下);[類] rudimentary, inchoate, embryonic"
cipher,密碼，零;;cipher:密碼
decipher,(v.) 解開，破譯;
