pitfall,"陷阱，圈套;;fall, fault:錯誤"
fallacious,(a.) 欺騙的，謬誤的;== fallibility 易出錯，出錯性
fallibility,(n.) 易出錯，出錯性;== fallacious 欺騙的，謬誤的;
falsification,(n.) 竄改、編造、偽造;（記法：false 錯誤的）
fantasy,幻想、想像;;fan:入迷、幻想
fanatical,"(a.) 狂熱的,盲信的"
fanciful,(a.) 幻想的，奇特的
feasible,可行的，可實行的;;feas:做
malfeasance,(n.) 不法行為;(記法：mal(壞)+feas(做)+ance)
forfeit,喪失，被罰沒收;(記法：作廢->喪失，被罰沒收);;feit(=fact):做
counterfeit,"(n.) 偽造，仿造;= fake, spurious, phony, bogus, fraudulent;;(記法：counter(相反)+feit(做))"
surfeit,(v.) 過量，過度;(記法：sur(超)+feit(做)->超量，過度)
felicitate,祝賀，慶祝;;felic:幸福
felicific,(a.) 產生幸福的，帶來幸福的
felicitous,"(a.) 得體的，適當的;<-> infelicitous, infelicity (n.)"
infelicitous,(adj) 不幸的、不適當的;[類] (n.) infelicity;[反] felicitous
infelicity,(n) 不幸、不適當
infer,推斷，推定;;fer:帶來
confer,(v.) 討論，商談，贈與;(記法：con(共同)+fer(帶來)->提出問題共同討論)
deference,"(n.) 尊敬;;== respect, reverence;;<-> effrontery(厚顏無恥的，放肆);;(記法：形近reverence尊敬)"
peripheral,(a.) 外圍的，周邊的，邊緣的;
odoriferous,(a.) 有氣味的;(記法：odor(氣味)+i+fer(帶來)+ous->有氣味的)
fever,"發燒;;ferv, ferm:熱"
fervent,(a.) 熾熱的，熱情的
confess,承認，公認;== confessional (a.) 懺悔的;;fess:說
profess,(v.) 公開宣布，聲稱
deficient,"有缺陷的，不足的;;fec, fic, fict: to do做"
artifice,奸計，詭計;;== deception;;(記法：arti(技巧)+fic(做)+e->技巧做->奸計)
beneficent,"(a.) 慈善的，仁愛的，有益的;(記法：bene(好)+fic(做)+ent);;== generous, charitable;"
feckless,"(a.) 無效的，無能的;== inefficient, irresponsible;"
fictitious,(a.) 假的，虛構的;(記法：類似fiction->小說都是假的);EX: fiction is always fictitious.
munificent,(a.) 慷慨的，豐厚的
