eject,趕出，射出;;ject:拋
conjecture,(v.) 推測，臆測;= speculate
dejected,"(a.) 沮喪的，失望的;(記法：被人拋棄->沮喪);== depressed, sad;"
objection,(n.) 厭惡，反對;(記法：ob(反)+ject(拋)+ion->反扔過去->厭惡)
objective,(a.) 客觀的;== (n.) objectivity;
judge,判斷;;jud:審判，判斷
judicious,(a.) 有判斷力的，明智的
conjunction,連接詞，聯合;;junct: 結合，連接
adjunct,(n.) 附加物，附件，助手
disjunctive,(a.) 分離的，相反的
jury,陪審團;;jur:發誓，法律;
abjure,(v.) 發誓放棄，棄絕;(記法：ab(離開)+jur(發誓)+e->發誓放棄)
conjure,(v.) 想起(conjure up)，變出;(記法：con(全部)+jure(發誓)->法官逼你想起來->全部都要發誓)
objurgate,(v.) 申斥，痛罵
justice,正義;;just:正確
justify,(v.) 證明....是正當的，為...辯護，是....的正當理由
juvenile,少年的，似少年的;;juven:年輕
jubilation,(n.) 歡慶，慶祝活動
rejuvenate,(v.) 使年輕，使恢復精神
collaborate,共同工作，合作;;labor:勞動
elaboration,(n.) 詳細的細節，詳盡的闡述;== intricacy;
laborious,(a.) 費勁的，耗費大量體力的
superlative,最好的，最高的;(記法：super(上面)+lat(提拿));;lat:carry:提拿，運送
latitude,緯度，自由;;lat:wide 寬
dilatory,(a.) 慢慢吞吞的，磨蹭的
dilute,"弄稀，弄淡;;lav, lau, lu:沖，洗"
election,選舉;;lect:選擇
eclective,(a.) 折衷的，綜合性的
predilection,(n.) 偏坦，愛好;(記法：pre(前)+di+lect(選擇)+ion);== preference;
legal,合法的;;leg:法律
allegiance,"(n.) 忠誠，忠貞;== devotion, fealty, piety;;(記法：對法律(leg)忠貞)"
legitimate,(a.) 合法的，正當的
elevator,電梯;;lev:舉，升，使...輕
alleviate,"(v.) 緩和，減輕;== mitigate, ease;"
elevate,(v.) 舉起，抬升，使上升;
leaven,(n.) 酵母，使有趣活潑
levity,(n.) 輕率，輕浮
lexicon,"辭典,詞典;;lex, lix:詞語"
prolix,(adj)囉嗦的、冗長的;[類]verbose
liberal,自由派的，慷慨的;;liber:自由
illiberal,(a.) 吝嗇的;== nottolerant; narrow-minded;
prolific,多產的，多結果的;;life:生命
proliferate,(v.) 繁殖，激增
religion,宗教;;lig:綁
obligatory,(a.) 強制性的，義務的;[類] compulsory
outline,"綱要，輪廓;;lino, lin, line:線"
delineate,(v.) 描繪，描寫
underline,(v.) 在....之下畫線(表重要)
relinquish,放棄，廢除;[類] abandon;;linqu:離開
delinquent,(n.) 疏忽職務的
eclipse,日蝕，黯然失色;;lips:放棄，缺少
illiterate,(a.) 文盲的;;liter:字母，文字
unliterary,(a.) 不嬌柔造作的
paleolithic,舊石器時代的;;lith:石頭
monolithic,(a.) 巨石的，巨大的;(記法：mono(單一)+lith(石頭)+ic->單塊石頭)
allocate,分配，配給;;loc:地方
locus,(n.) 地點，所在地
dialogue,"對話;;locu, log, logu, loqu:說，言"
apologist,(n.) 辯護者，護教論者;(記法：apologize道歉，辯解)
circumlocution,(n.) 迂迴累贅的陳述;== circumlocutory (a.) 委婉曲折的;(記法：circum(環繞)+locu(說)+tion->繞圈子說)
colloquial,(a.) 口語的，會話的
eloquence,(n.) 雄辯，口才
loquacious,"(a.) 多話的，非常健談的;== garrulous, talkative;;<-> laconic, reticent, taciturn;"
laconic,(a.) 簡短的;== terse;
monolog,(n.) 獨白，個人長篇演說;(記法：mono(單一)+log(說))
prophylactic,(a.) 預防疾病的;;(記法：prophecy預言lac說)
soliloquy,(n.) 自言自語，戲劇獨白;(記法：sol(孤單，獨自)+i(SE)+loqu(說)+y)
longevity,長命，長壽;;long:長
long-winded,(a.) 冗長的，囉唆的
pellucid,"清澈的，清晰的;;luc, light:光"
elucidate,(v.) 闡明，說明
lucid,(a.) 清楚易懂的，明晰的;== limpid
lucubration,(n.) 苦心研究;== laborious;
lucrative,賺錢的，有利可圖的;;lucr:錢財
illusion,"假象，錯覺;;lud, lus:玩，遊戲，扮演"
allusive,(a.) 暗指的
collude,(v.) 共謀的;(記法：col(共同)+lud(玩)+e)
delude,(v.) 欺騙，哄騙;== deceive sb;
elude,(v.) 逃避，躲避
elusive,(a.) 逃避的，躲避的，難以表述的，難懂的;
disillusioned,(a.) 幻想破滅的，醒悟的;
illusory,(a.) 幻覺的，夢幻似的，迷惑人的;== deceptive;
ludicrous,(a.) 滑稽的，荒談可笑的;== absurd;
lurid,(a.) 可怕的，恐怖的，火紅的
illuminate,闡明，解釋，照亮;;lumin:光
luminary,(n.) 傑出人物，才智出眾的人
preliminary,(a.) 預備的，初步的，開始的;(記法：pre(前)+limin(光)+ary)
illustrate,說明，闡明;;lustr:光
illustrative,(a.) 解說性的，用作說明的
illustrious,(a.) 著名的，顯赫的
lackluster,(a.) 無光澤的，呆滯的;;== lacking brilliance or vitality;
luxurious,奢侈的，豪華的;;luxur:豐富，精美
luxuriant,(a.) 繁茂的，肥沃的;== lush;
malice,惡意，害人之心;;mal:壞，邪惡
malady,(n.) 病，疾病
malevolent,(a.) 有惡意的，惡毒的;[類] spiteful
malign,(a.) 惡意的，誹謗;(沒奶!!!)
magnificant,壯麗的;;magn:大
magnanimous,(a.) 寬大的，有雅量的;
magnitude,(n.) 重大，廣大
remain,"剩下，留下;;man, main:停留"
impermanent,"(a.) 不持久的，暫時的;== not permanent, temporary;;<->imprudent;impudent;impertinent"
