murky,黑暗的，陰鬱的;;mur:牆
demur,(v.) 表示異議，反對
mutate,變化，產生突變;;mut: change 改變
immutable,(a.) 不變的
mutable,"(a.) 善變的，易變的;== capricious, inconsistent, inconstant, mercurial, fickle;"
mute,(a.) 沈默的，一時說不出話的
transmute,(v.) 使變形、使變化
mystery,神秘的;;myst:神秘的
demystify,(v.) 弄清楚
innate,"天生的，固有的;;nat, nas:出生"
nascent,(a.) 初生的，萌芽的
natal,(a.) 出生的，出生時的
neonate,(a.) 嬰兒
negligible,可以忽略的，微不足道的;;neg:反對，否認
abnegate,(v.) 否認，放棄;(記法：音讀[阿不你給]->你給而非我給->放棄，否定)
negate,(v.) 取消，否認
negligent,(a.) 疏忽的，粗心的;[類] careless
energize,給予精力或能量;;nerv:力量
enervate,(v.) 使失去活力，使衰弱
neutral,中立國，中立國的;;neutr:中性，中立
annex,兼併，附加;;nex:綁
nigr,:黑;;****** 黑鬼（極冒犯）
denigrate,(v.) 污衊，誹謗;EX: denigrate their opposition
enigma,難以解釋的事物，謎;== conundrum;;(記法：enigmatic (a. 難以理解的 mysterious) )
noxious,"有害的，有毒的;== harmful, poisonous;;;noc, nox, nic:毒，傷害"
innocence,(n.) 無辜，清白
innocuous,(a.) (行為，言論)無害的
noisome,"(a.) 令人討厭的，惡臭的;== injurious, offensive, disgusting, stinking;"
pernicious,(a.) 有毒的，致命的;(記法：per(完全)+nic(毒)+ious)
normal,"一般的，平常的;;norm, usual:平常的"
anomalous,"(a.) 反常的，不規則的;== aberrant, deviant, heteroclite, preternatural;"
normative,(a.) 按規定準則的，合乎規範的
nominal,"名義上的，有名無實的;;nomin, nom:名稱，名字"
ignominious,(a.) 可恥的，恥辱的
misnomer,(n.) 人名誤載，寫錯名字;(記法：mis(錯誤)+nom(名稱)+er)
nostalgia,鄉愁;;nost:家
nostrum,家傳秘方，江湖藥，萬靈丹;(記法: nost(家)+rum(=run跑)->家傳東西);(記法2: 音讀「nostrum失傳」，家傳秘方容易失傳)
notice,注意;;not:標示，標記
annotate,(v.) 註解
connotation,(n.) 含蓄，言外之意
notch,(n.) 刻痕，槽口，凹口
notoriety,(n.) 惡名昭彰，聲名狼籍
announce,"宣布，發布;;nounc, nunc:說出，報告"
pronounced,(a.) 明確的，明顯的
denounce,(v.) 指責，譴責;(記法：de(向下)+nounce(宣布)->譴責)
novelty,新奇，新奇的事物;;nov:新
innovative,(a.) 創新的
novice,(n.) 新手，初學者
null,無效，等於零的
anneal,(v.) 使退火
annihilate,(v.) 殲滅，消滅，徹底擊潰，毀滅
nullify,(v.) 使無效，廢棄，取消
oder,:氣味，聞
malodorous,(a.) 惡臭的;(記法：male(壞)+oder(氣味)+ous)
odoriferous,(adj)香的、芬芳的;odor(氣味) + i + fer(帶來)+ ous
ominous,不祥的，預兆的;;omin:預兆，不祥
onerous,"繁重的，麻煩的;[類] arduous, taxing;[記法] honor榮譽很麻煩;;oner:負擔"
exonerate,(v.) 免除責任，宣布無罪;(記法：ex(免除)+oner(負擔)+ate)
anonymity,匿名，作者不詳;== (a.) anonymous;;(記法：an(無)+onym(名稱)+ity);;onym:名字
pseudonym,(n.) 假名，筆名;(記法：pseud(假)+onym(名稱))
opaque,不透明的，難懂的;;opa:不透明
adopt,採取，採納;;opt:選擇，視力，希望
myopia,(n.) 目光短淺，缺乏遠見;(記法：my(自己)+op(看，視力)->只看得到自己->目光短淺)
optimistic,(a.) 樂觀的
optimal,(a.) 最佳的，最理想的
synoptic,(a.) 概要的
opulent,"豐饒的，奢侈的;;ops, wealth:財富"
adore,"敬愛，傾慕;;or, ora:口，說"
inexorable,(a.) 不為所動的，堅決不變的;== relentless;;(記法：in(不)+ex(出)+ora(說)+ble->說不動)
oracle,(n.) 神使，傳神諭者
oracular,(a.) 神諭的，玄妙的，晦澀的
oration,(n.) 演說，演講
order,命令;;ord:命令
foreordain,(n.) 預先決定;(記法：fore(=before先前)+ordain(命令)->預先決定)
ordinance,(n.) 法令，條例
ordinary,通常的，平常的;;ordin:順序，正常
inordinate,(a.) 過度的，過分的;(記法：in(不)+ordin(正常)+ate);== excessive;
insubordinate,(a.) 不服從的，違抗的
subordinate,(a.) 次要的，下級的;(記法：sub(下面)+ordin(順序)+ate)
adorn,裝飾，使生色;;orn:裝飾
ornamental,(a.) 裝飾的，做裝飾用的
ornate,(a.) 裝飾華麗的，過分修飾的;[類] flamboyant
fossil,化石;;oss:骨頭
ossify,(v.) 硬化，骨化，使僵化
pale,"蒼白;;pal, pale:蒼白"
appall,(v.) 使驚駭，使恐怖
paltry,(a.) 不足的，瑣碎的，沒有價值的;[類] unimportant
palpable,可摸到的，及其明瞭的;== tangible;;<-> subtle 難以捉模的，微妙的;;;palp:摸
prepare,準備;;par:準備
apparel,(n.) （精緻的）衣服
imperative,(a.) 必要的，警急的
imperious,(a.) 跋扈的，專橫的
transparent,透明的，清澈的;;par:出現
apparition,(n.) 幽靈，亡靈，幻影，特意景象
compare,比較;;par:平等
disparage,(v.) 輕蔑，貶抑;== slight
disparate,(a.) 不同的，異類的
parity,(n.) 同等，類似，想同
parody,(n.) 模仿倖嘲弄文章或表演，拙劣的模仿
