accede, (v.) 同意，答應
accentuate, (v.) 強調，著重
accredit, (v.) 授權，委任
acquisition, (n.) 獲得，取得，添加物
ad hoc, (a.) 特別的
adverse, (a.) 不利的，相反的
affability, (n.) 和藹，親切
affluent, (a.) 富裕的
ajar, (a.) 半開的
akin, (a.) 類似的
anarchy, (n.) 無政府狀態
anthology, (n.) 選集，文集
antipathy, (n.) 反感，厭惡
aphorism, (n.) 格言，警句
appliance, (n.) 器具，裝置，家電用具
aptitude, (n.) 性向，才能
ardent, (a.) 熱情的，熱心的
arduous, (a.) 艱鉅的，費力的
arson, (n.) 縱火，放火
assmiliation, (n.) 同化，吸收
assort, (v.) 分類，分級
assortment, (n.) 分類，分級
asylum, (n.) 避難所，庇護所，庇護
attach, (v.) 認為有
automat, (n.) 自動售貨機
bedridden, (a.) 臥床不起的
bilateral, (a.) 雙邊的
bleak, (a.) 荒涼的，陰冷的
blizzard, (n.) 暴風雪
blotting paper, (n.) 吸墨紙
blunder, (n.) 大錯，失誤
brood, (v.) 孵蛋，沉思
capitalize, (v.) 利用，資本化
capriciously, (a.) 反覆無常的
cataclysm, (n.) 大災難
circumscribe, (v.) 限制，限定
clash, (v.) 衝突，抵觸
coercion, (n.) 強迫，威壓
coherent, (a.) 連貫的，一致的，有條理的
collateral, (a.) 附帶的，間接的 (n.) 抵押品
commission, (n.) 委員會，佣金 (v.) 委任，委託
commodity, (n.) 商品，日用品
compel, (v.) 強迫，迫使
competent, (a.) 有能力的，能幹的
comprise, (v.) 包含，包括
compulsory, (a.) 強制的，必修的
concerted, (a.) 協調的，共同的，一致的
condemn, (v.) 譴責，判刑
condense, (v.) 濃縮，縮短
condone, (v.) 寬恕，原諒
conducive, (a.) 有助於，有益的
confederate, (n.) 同盟者，同黨 (a.) 同盟的 (v.) 結盟
confer, (v.) 商討，協議
confiscate, (v.) 沒收，充公
conglomerate, (v.) 使聚集，使凝聚 (n.) 聚合體
congregate, (v.) 聚集
connote, (v.) 意味著，暗示
contention, (n.) 爭論，爭辯
contingency, (n.) 偶然性，意外事故
conspicuous, (a.) 顯著的，顯眼的
converge, (v.) 聚集，匯合，集中於一點
convertible, (a.) 敞篷的
cordially, (adv.) 熱忱地
correspond, (v.) 通信，符合
counterfeit, (a.) 偽造的，假冒的 (v.) 偽造，仿造
coup, (n.) 政變，砰然聲
credulous, (a.) 輕信的，易受騙的
curb, (v.) 抑制，控制
curtail, (v.) 縮減，削減
custody, (n.) 保管，監護，拘留
dampen, (v.) 潮濕，使沮喪
daringly, (adv.) 大膽地
deceitful, (a.) 欺騙的，詭詐的，虛偽的
decennial, (a.) 十年一度的
decidedly, (adv.) 明確地，堅定地
deem, (v.) 認為，視為
deference, (n.) 尊重，敬意，服從
defiance, (n.) 反抗，違抗
deficiency, (n.) 缺乏，不足
defuse, (v.) 拆除，化解，緩和
deliberate, (a.) 故意的，蓄意的 (v.) 商議，考慮
delinquency, (n.) 疏忽，失職，違法，犯罪
demeanor, (n.) 行為舉止
demolish, (v.) 拆毀，破壞
denigrate, (v.) 誹謗，詆毀
detrimental, (a.) 有害的，不利的
detente, (n.) 緩和，放鬆
detergent, (n.) 洗潔劑
deteriorate, (v.) 惡化，變壞
detest, (v.) 厭惡，憎恨
devious, (a.) 迂迴的，曲折的，狡猾的
devise, (v.) 設計，發明
diction, (n.) 措辭，用語
dilapidate, (v.) 毀壞，荒廢，破舊
discernible, (a.) 可識別的，可看見的
discharge, (v.) 釋放，排放，解雇，允許離開
diminish, (v.) 減少，減小
dire, (a.) 極度的，嚴重的
disadvantage, (n.) 不利，缺點 (v.) 損害
disconcerting, (a.) 擾亂的
