discourse, (n.) 交談，論述
discrepancy, (n.) 差異，矛盾
disposal, (n.) 處理，清除
disdainfully, (adv.) 輕蔑地，傲慢地
dismay, (n.) 沮喪，驚慌 (v.) 使沮喪，使驚慌
disparaging, (a.) 輕蔑的，貶低的
distaste, (n.) 厭惡，不喜歡
divert, (v.) 使轉向，使娛樂
docile, (a.) 馴服的，易駕馭的，溫順的
domesticate, (v.) 馴養，馴化
drastic, (a.) 激烈的，猛烈的
dubious, (a.) 可疑的，不確定的
dumbfound, (v.) 使驚訝，使目瞪口呆
edible, (a.) 可食用的
efface, (v.) 抹去，擦掉
efficacy, (n.) 功效，效力
elated, (a.) 得意洋洋的，興高采烈的
eloquent, (a.) 雄辯的，有說服力的
embezzle, (v.) 盜用，挪用
emit, (v.) 發出，散發
encircle, (v.) 環繞，包圍
encumber, (v.) 妨礙，拖累
engross, (v.) 使全神貫注，使入迷
enormity, (n.) 暴行，巨大
entrenched, (a.) 根深蒂固的
ephemeral, (a.) 短暫的，朝生暮死的
epitome, (n.) 典型，摘要
epoch, (n.) 時代，紀元，時期
erode, (v.) 侵蝕，腐蝕
erosion, (n.) 侵蝕，腐蝕
espousal, (n.) 接受，支持，信奉
ethnic, (a.) 民族的
evasive, (a.) 逃避的，托辭的
exasperation, (n.) 激怒，惱怒
exquisite, (a.) 精美的，精緻的
extradite, (v.) 引渡
fallacy, (n.) 謬論，謬誤
famine, (n.) 饑荒
felictious, (a.) 幸福的，幸運的
fell, (v.) 砍伐，打倒 (a.) 凶猛的
filament, (n.) 細絲，燈絲
filial, (a.) 子女的，子女的情感
financier, (n.) 財政家，金融家
flabby, (a.) 鬆弛的，軟弱的
flag, (v.) 變弱，衰退
fledgling, (n.) 未成熟的人，新手 (a.) 剛開始的
foliage, (n.) 葉子
forfeit, (v.) 喪失，被罰沒收 (n.) 罰金
franchise, (n.) 參政權，特許經營權
frugal, (a.) 節儉的，節省的
futile, (a.) 無效的，無用的
gadget, (n.) 小器具，小裝置
gauzy, (a.) 薄的，透明的，淡淡的
gear, (v.) 使適合，調整 (n.) 齒輪
generalize, (v.) 推廣，概括
germane, (a.) 有密切關係的，貼切的，有關聯的
germinate, (v.) 發芽
gerontocrat, (n.) 年老的官員
gloomy, (a.) 消沉的，陰暗的
gluttony, (n.) 暴食，貪食
graft, (v.) 嫁接，移植
graphite, (n.) 石墨
grasp, (v.) 抓住，理解 (n.) 把握，理解
harshness, (n.) 粗糙，刺耳，冷酷無情
hectic, (a.) 緊張忙碌的
hemisphere, (n.) 半球
henceforth, (adv.) 今後，從此以後
heterogeneity, (n.) 異質，不同
hinder, (v.) 阻礙，妨礙
hinge, (n.) 鉸鏈 (v.) 依...而定
hoarse, (a.) 沙啞的
homicide, (n.) 殺人
homogeneous, (a.) 同質的，均質的
horn, (n.) 角，喇叭
illiterate, (a.) 文盲的
imminent, (a.) 即將來臨的，臨近的，臨頭
impediment, (n.) 缺陷，障礙
impending, (a.) 即將發生的，逼近的，懸而未決的
imperative, (a.) 必要的，緊急的 (n.) 命令
impromptu, (a.) 即席的
incessantly, (adv.) 不停地，連續地
inclination, (n.) 傾向，意願
incorporate, (v.) 合併，包含
incorrigible, (a.) 無可救藥的，不可矯正的，任性的
indispensable, (a.) 不可缺少的，必需的
industrious, (a.) 勤勞的，勤奮的
inexplicable, (a.) 無法解釋的
infinitesimal, (a.) 極微小的
infuriate, (v.) 激怒，使大怒
ingenious, (a.) 聰明的，巧妙的
inhabit, (v.) 居住於，棲息於
inherent, (a.) 固有的，與生俱來的
inhibit, (v.) 禁止，抑制
inimical, (a.) 有敵意的，不合的
innuendo, (n.) 暗示，影射，冷嘲熱諷
inquisitive, (a.) 好奇的，愛打聽的
insinuate, (v.) 暗示，含沙射影
insurmountable, (a.) 不能克服的，不能超越的
intact, (a.) 完整無缺的，原封不動的
intonation, (n.) 語調，抑揚頓挫
