signal,信號，暗號;;sign:簽名，標記
consign,(v.) 打發，棄置
similar,"相似的;;simil, simul:像，相同"
assimilate,(v.) 同化，吸收
dissimulate,(v.) 隱藏，掩飾;(記法：dis不+simul相同+ate)
simultaneous,(a.) 同時發生的，同時存在的
sip,:喝，飲
dissipate,(v.) 使驅散，浪費;(記法：到處吃喝->浪費)
insipid,(a.) 沒有味道的，清淡的;(記法：in不+sip喝+id->不好喝的->乏味的)
resist,抵抗，抵擋;;sist:站，立
consistent,(a.) 始終如一的，前後一致的
obsolete,"廢棄的，淘汰的，過時的;[類] antiquated, outmoded, archaic;;sol:習慣於"
insolent,(a.) 粗魯無禮的，傲慢的;(記法：in=not+sol習慣->不習慣禮節->顯得出魯->傲慢)
obsolescent,(a.) 逐漸被廢棄的，即將過時的
isolate,孤立，獨立;;sol:孤單，安慰
desolate,(a.) 荒蕪的，無人煙的
disconsolate,(a.) 悶悶不樂的，鬱鬱寡歡的;(記法：dis不+console安慰->悶悶不樂，鬱鬱寡歡)
solitary,(a.) 單獨的，獨自的
consolidate,鞏固，堅強，合併;;solid:結實
dissolve,"使溶解，使融化;;solv, solu:融解，鬆開"
absolve,(v.) 赦免，免除
insomnia,失眠症;;somn:睡眠
somnolent,"(a.) 想睡的，催眠的;== lethargic, drowsy;"
soporific,(a.) 令人想睡的
ultrasonic,(a.) 超音速的，超聲波的;;son:聲音
consonant,(a.) 調和的，一致的;(記法：con共同+son聲音+ant->同聲的->一致的)
dissonant,(a.) 不和諧的，不一致的
resonant,(a.) 宏亮的，共鳴的
sonorous,(a.) 洪亮的，響亮的
sophomore,大二;;soph:智慧
philosophic,(a.) 哲學家的，哲學的
sophistication,(n.) 老於世故，有教養
sophistry,(n.) 謬論，詭辯
respect,"尊敬(一再看);;spec, spic, see:看"
auspicious,"(a.) 吉兆的，吉利的;== (a.) propitious 順利的，吉祥的, promising;"
circumspect,(a.) 慎重的，謹慎小心的;(記法：circum環境+spec看->四處看->慎重的)
conspicuous,"(a.) 顯著的，顯而易見的;(記法：con共同+spic看+uous->都能看到的->顯而易見的);== noticeable, remarkable, salient;"
despicable,(a.) 可鄙的，卑劣的;(記法：de不+spic看+able->不值得看的->卑劣的);== contemptible;
introspective,(a.) 內省的，反思的，自省的
perspicuous,(a.) 明晰的，明瞭的
prospect,(v.) 前景，前途，勘探
retrospective,(a.) 回顧的，追朔的
specious,(a.) 似是而非的，華而不實的
speculate,(v.) 沈思，思索，投機;= conjecture
speculative,(a.) 投機的，思索的，推測的
prosperous,興旺的，繁榮的;;sper:希望
desperate,(a.) 情急拼命的，挺而走險的
disperse,消散，驅散;;spers:散步，散開
aspersion,(n.) 毀謗，中傷;== defamation
sparse,(a.) 稀疏的，稀少的
perspire,流汗，辛勞;;spir:呼吸
awe-inspiring,(a.) 令人起敬畏心得，令人驚嘆的
conspiracy,(n.) 陰謀，共謀
inspired,(a.) 有創見的，有靈感的
splendid,極好的，優秀的;;splend:發光
resplendent,(a.) 華麗的，輝煌的
obstacle,"干擾，障礙;;sta, st:站"
apostasy,(n.) 背教，脫黨，變節;(記法：apo遠+sta站+sy->站得遠，離得遠)
circumstantial,(a.) 與情況有關的，依情況而定的;(記法：circum環境+sta站+ntial->處於外圍->不重要的)
constant,(a.) 固定的，不變的
ecstatic,(a.) 狂喜的，心花怒放的
extant,(a.) 尚存的，現存的;EX: extant manuscripts;(記法：ex往外+stant=stand站->能站到現在的->現存的)
forestall,(v.) 先發制人，預先阻止;(記法：fore前+stall站->事先站在對方的路上->製造進攻犯規->先發制人)
obstinate,(a.) 固執的，倔強的
stalwart,(a.) 堅決的，健壯的
stanch,(v.) 止血，使傷口止血
static,(a.) 靜態的，呆板的;== stationary;
stilted,(a.) 呆板的，生硬的，不自然的;(記法：stilted音讀死呆子->呆板的，生硬的，不自然的);== artificial;
state,:說，呈現
understated,(a.) 輕描淡寫的，低調的，壓抑的
stern,:僵硬
consternation,(n.) 大為吃驚，驚駭;== great dismay;;(記法：con全部+stern僵硬+ation->全部僵硬)
stimulus,"刺激，刺激物;;sti, stimul:刺，點，刺激"
stint,(v.) 吝嗇，節省
instigate,(v.) 發起，煽動;[類] abet
constrain,"強迫，迫使;;str, strain, strict, stress:繩子，綑綁，束縛"
restrain,(v.) 克制，抑制
hamstring,(v.) 使難有作為，使殘廢
outstrip,(v.) 超過，跑過
strip,(v.) 剝去，剝光
catastrophe,"突如其來的大災難;;strophe, trope:轉動"
construct,"建造;;stru, struct:建造，建構"
construe,(v.) 解釋，理解為
misconstrue,(v.) 曲解，誤解
instructive,(a.) 有教育意義的，有啟發性的
summary,概要，摘要;;sum:總，概要
consummate,(a.) 完全的，完善的
assume,"假定，假設;;sum, take:拿"
presume,(v.) 相信，推測，自作主張，放肆;(記法：pre先前+sum拿+e->事先拿->相信，推測，自作主張，放肆)
presumptuous,(a.) 專橫的，自以為是的，冒失的，放肆的
assure,保重，使確信;== assured (a.) 確定的，自信的;;sure:確定
reassure,(v.) 使恢復信心，使確信
surge,波濤洶湧，激增;;surge:上升，起立
resurge,(v.) 再起，復活，復甦
contact,"接觸，聯絡;;tach, tact, tag, tig, ting, tamin, tang:接觸"
detached,"(a.) 分開的，超然的，不受影響的;== detach (v.) 分開，拆卸, impartial;"
dispatch,(v.) 派遣，發送，迅速;(記法：patch補丁->發送補丁的速度必須很快)
tact,(n.) 機智，圓滑
tactless,(a.) 不乖巧的，不圓通的，不明智的
contiguous,(a.) 接近的，接壤的;== near;
contingent,(n.) 意外事故，偶然事件;== contingency;
intangible,(a.) 觸摸不到的，無形的，無實體的;== indefinable;
tangential,(a.) 切線的，離題的;== digressing;
