vital,極其重要的，充滿活力的;;vit:活力，生命
revitalize,(v.) 使恢復生氣，使復活，使復興
vitality,(n.) 活力，生氣
survive,倖存;;viv:活
vivacious,(a.) 活撥的，快活的
advocate,"(v.) 擁護，支持;;voc, vok:叫喊，聲音"
equivocal,(a.) 模稜兩可的，不明確的;== ambiguous;
evocative,(a.) 喚起的，激起的
irrevocable,(a.) 不可撤回的，不可取消的
provocative,(a.) 挑釁的，煽動的
univocal,(a.) 單義的，意義明確的
vociferous,(a.) 大聲的，激昂的;[類] clamorous
avoid,避開，躲避;;void:空
devoid,(a.) 缺乏的，沒有的
voluntary,"(a.) 自願的，志願的;;vol, volunt:意志，意願"
malevolent,(a.) 有惡意的，壞心腸的;== spiteful;
volatile,(a.) 反覆無常的，揮發性的
evolution,"革命;;volu, volv, volt:轉"
convoluted,"(a.) 費解的，旋繞的;== coiled, spiraled 費解的, intricate 錯綜複雜的, twisted;"
devolve,(v.) 被轉移，被移交
revolt,(v.) 叛亂，造反，反感;(記法：re反+volt轉->造反)
voluble,(a.) 健談的，口若懸河般的
welter,(n.) 雜亂無章;== turmoil;;(記法：wel(=vol轉)->混亂，雜亂)
carnivorous,肉食性的;(記法：carn肉+i(SE)+vor(吃)+ous);;vor:吃
devour,(v.) 狼吞虎嚥地吃，吃光
herbivorous,(a.) 食草的;(記法：herb(草)+i(SE)+vor(吃)+ous)
voracious,(a.) 狼吞虎嚥的，貪婪的;== ravenous;
vow,誓言;;vow:誓言
avow,(v.) 坦率承認，公開表示;== admit;
disavow,(v.) 否認，推翻
vulgar,粗魯的，下流的;;vulg:普通
divulge,(v.) 洩漏，透露;(記法：使普通人知道->洩漏)
promulgate,(v.) 散佈，宣揚;== disseminate;
abet,"(v.) 教唆，唆使，煽動;== foment, instigate, provoke;;(記法：bet賭博->教唆賭博)"
abeyance,"(n.) 暫停，終止;== doldrums, dormancy;;<-> continuance, continuation;;(記法：音讀at bay在海灣->暫停)"
abreast,(adv.) 並肩的，並排的
abridge,(v.) 縮短，刪減
absorbing,(a.) 有趣的，引人入勝的
absurd,"(a.) 不合理的，荒謬的;== unreasonable, not sensible;"
abysmal,(a.) 糟透的，深不可測的;== extremely bad;
acquisitive,(a.) 貪得無厭的
ad hoc,(a.) 臨時的，特別安排的
adamant,"(a.) 堅決的，固執的;== unyielding, immovable, implacable;"
adolescent,(a.) 青少年的，青春期的
adulation,(v.) 諂媚，奉承;== adulate;;<-> opprobrium 譴責，咒罵;
aghast,(a.) 驚呆的，嚇呆的;(記法：ghast=ghost鬼)
alacrity,(n.) 樂意，敏捷，輕快
albeit,(n.) 儘管;[類] although
allay,(v.) 減輕，使平靜;== mitigate;
allure,(v.) 誘惑，引誘;== lure (v.) 誘惑;
aloof,(a.) 冷漠的，疏遠的;== unconcerned;;[記] 一個魯夫
amalgam,(n.) 混合物
analogous,(a.) 可類比的，類似的;== analogy;
ancillary,"(a.) 輔助的，補助的;== subordinate, auxiliary;"
anecdote,(n.) 軼事，趣聞
anoint,(v.) 塗抹，拔擢
antidote,(n.) 矯正方法，解毒藥，解毒劑
aplomb,"(n.) 沈著;== self-posession, assurance;"
arcane,(a.) 秘密的，深奧難懂的;記法：1. 啊看啊 2. 啊幹
archaic,"(a.) 古老的，古體的，過時的;[類] ancient, outmoded, obsolete"
arduous,"(a.) 費力的，艱難的;== difficult, onerous, laborious"
artful,(a.) 狡猾的;== crafty
ascetic,(a.) 禁慾主義者，苦行者
asseverate,(v.) 鄭重說明，斷言
assuage,"(v.) 緩和，減輕;== lessen, allay, relieve, alleviate, mitigate, soothe;;EX: assuage the qualms of 平息....的疑慮"
astute,(a.) 敏銳的，精明的;EX: an astute observer;;(記法：形近 acute 敏銳的，機敏的)
at odds,(v.) 不同於、不一致
atrocity,(n.) 殘暴，暴行;== brutality;;(記法：音讀[啊踹你]->殘暴，暴行)
atrophy,(n.) 萎縮
augur,(v.) 預言，預測
austere,(a.) 嚴厲的，簡樸的
avant-garde,(a.) 前衛的;== vanguard;
avarice,(n.) 貪得無厭，貪婪;== greed;(記法：阿凡達)
awry,(a.) 偏差的，走樣的;== askew;;(記法：音讀[啊歪了]->偏差的)
axiomatic,(a.) 公理的，不證自明的
backbite,(v.) 毀謗，中傷
badger,(v.) （不停地）騷擾
baffle,"(v.) 使困惑，阻饒;== confuse, puzzle, confound, balk, bilk, dash, foil, thwart;"
banal,"(a.) 陳腐的，平庸的;== dull, stale, hackneyed, commonplace, insipid, trite, vapid, jejune;"
banter,(v.) 椰榆，嘲弄;(記法：絆他)
baroque,"(a.) 過分雕琢的，高度裝飾的;== flamboyant, florid, luscious;;<-> austere 簡譜的;(記法：指巴洛克風格，一種強調雕琢和裝飾的藝術和建築風格)"
barren,(a.) 貧脊的
bashful,(a.) 害羞的，羞怯的;== (n.) bashfulness
bearing,(n.) 關係，舉止，風度;(記法：bear (v.) 懷胎)
befuddle,(v.) 使昏迷，使困惑
begrudging,(a.) 勉強的，吝惜的
belie,(v.) 掩蓋，與....不一致;== mask;;(記法：lie欺騙)
berate,(v.) 痛罵，訓斥
bereft,(a.) 失去....的;(記法：音讀：被掠(奪))
bespeak,(v.) 證明，表示;(記法：字面義為要你說->證明)
bland,(a.) 無味的，溫和的，和藹的;(記法：白藍的->藍白拖->枯燥乏味的);== suave;
blatant,"(a.) 喧鬧的，顯眼的，炫耀的;== boisterous, clamorous, obstreperous, vociferant 喧鬧的, unashamed, flagrant;;EX: the blatant sound of horns;;(記法：bla音讀blah blah->不停說話->喧鬧的，顯眼的)"
blight,(v.) 毀掉，破壞，使枯萎 (n.) 枯萎病;== (a.) blighted 枯萎的
blunder,(v.) 犯大錯 (n.) 愚蠢的大錯;== (n.) blundering 粗魯的，愚笨的
bogus,"(a.) 假冒的，偽造的;== spurious, counterfeit, fraudulent, phony;;(記法：bonus獎金->bogus偽造的獎金)"
bolster,(v.) 支持，鼓勵，增強;(n.) 長枕
boorish,(a.) 粗野的，粗魯的;(記法：bear(熊)很boorish(粗野的))
bourgeois,(n.) 中產階級的人，庸俗的人
braggart,(n.) 吹牛者 (a.) 吹牛的;== (v.) brag 自誇
brandish,(v.) 揮舞(武器)，展示
