recite,背誦，朗誦;;cit:說，招喚
elicit,(v.) 引出
insouciance,"(n.) 無憂無慮，不注意，不在乎;== nonchalance, insouciant (a.) 漫不經心的；不在乎的"
insouciant,(a.) 漫不經心的，不在乎的;(記法：in(不再)+souc(=solicit招喚))
resuscitate,(v.) 使復活，使甦醒;;bring (sb/sth) back to consciousness;
solicit,(v.) 懇求，請求，招攬
exclaim,"驚叫，呼喊;;claim, clam:喊，呼叫"
proclaim,(v.) 宣告，宣布;== announce
reclaim,(v.) 重新取得;使改過，使悔改，教化[（+from）];reclaim somebody from a life of vice 使某人改邪歸正;開墾，開拓[（+from）];回收利用[（+from）];【舊】馴服，降服
clan,宗派
clandestine,(a.) 秘密的，暗中的
clannish,(a.) 排他的，門戶之見;宗族的；氏族的；黨派的;團結心很強的
clarify,澄清;;clar:清楚的
clairvoyance,(n.) 超人的洞察力;== (a.) clairvoyant;;<-> chivalrous (a.) 騎士時代的；騎士的道德準則的
incline,傾向;;clin:彎曲，傾斜
disinclination,"(n.) 不情願的，不願意;<-> inclination 傾向，意願;;== unwillingness, reluctance;"
proclivity,"(n.) 傾向;;== inclination, tendency;;e.g. My proclivity for the rock music."
close,"關閉;;clud, clus, claus:關閉"
conclusive,(a.) 決定性的，確實的，最終的;
preclude,(v.) 避免，排除;
seclude,(v.) 使隔離，使孤立，使隱退，使隱居;
cook,"煮，烹調;;coc, cook:煮，烹調"
precocious,(a.) 早熟的，早成的;(記法：先前煮很多的->早熟的);== premature;
code,密碼，法典
codify,(v.) 將法律，規則編成法典;== codification;
recognize,認得，認出;;cogn:知道
cognitive,(a.) 認知的，感知的
cognizance,"(n.) 認知，認定，審理;== (a.) cognizant 知道的，認識的, knowledge, awareness;"
collar,衣領;;col:脖子
accolade,(n.) 推崇，讚揚;(記法：ac+col脖子->把獎牌掛在脖子上);== praise; approval;
reconcile,和解，調和;;concil:協商
conciliatory,(a.) 撫慰的，調和的;
irreconcilable,(a.) 不能調和的，矛盾的;
abscond,"潛逃，逃亡;;cond, conc:藏"
recondite,(a.) 深奧的(隱藏起來不外漏);== obscure;e.g. recondite subject;
cordial,"熱忱的，熱心的; sincere and friendly;;;cord, core:心，核心;"
concord,(n.) 一致，協調，(國際的)和睦;
excoriate,(v.) 痛責，剝(皮);== censure scathingly(嚴格低)
corn,角
copious,"(a.) 多產的，豐富的;;冗長的；滔滔不絕的;a copious style 冗贅的文體;[類] plentiful, abundant"
cosmos,宇宙;<-> cosmetic 化妝品；裝飾品;;;cosm:宇宙
cosmopolitan,(n.) 世界主義者，四海為家的人
democracy,"民主;;cracy, crat:統治"
autocracy,(n.) 獨裁政府
aristocrat,"(n.) 貴族; nobleman, noblewoman;;== (n.) aristocracy:貴族階層"
idiosyncrasy,(n.) 氣質，習性;(記法：idio(個體的，獨特的)+syn+cracy(統治))
idiosyncratic,(a.) 有氣質的，有特性的
crescendo,"(n. adv.)(音樂)漸強;;cre, crue:增加"
accrue,(v.) （透過自然增長）產生，形成;the wisdom that accrues with age 隨年齡俱增的智慧;;;（利息等的自然）孳生，增加[（+to/from）];Interest accrues on a daily basis. 按日生息。
increment,(n.) 增加，增值;
create,創造;;crea:做，製造
accretion,(n.) 增加; 【律】添加（物）；附加（物）;【地】沖積層
miscreant,"(n.) 惡棍，歹徒;;== villain, wrongdoer;;(記法：mis(壞)+crea(做)+nt->做壞事者->惡棍，歹徒)"
credit card,信用卡;;cred:相信
credulous,(a.) 輕信的，易信的;[類] gullible;(記法：相信太多->輕信)
discredit,(v.) 使丟臉，敗壞....的名聲
discrepancy,"不同，矛盾;== difference, failure to agree;;;crep:破裂"
secretary,秘書;;cret:分開
discreet,(a.) 警慎的，慎重的，考慮周到的;
discrete,"(a.) 個別的，不連續的;;== separate, distinct;"
discretion,(n.) 警慎，爭酌;;== (a.) discreet 警慎的
discretionary,(a.) 任意的，自由決定的
excrete,(v.) 排泄，分泌;
secrete,(v.) 分泌，隱藏
discriminate,(v.) 區別，辨別;;有差別地對待，歧視[（+against/in favor of）];Our teacher never discriminates in favor of brighter pupils. 我們的老師從不給優生以特殊對待。;;crim:罪行
indiscriminate,(a.) 不加區別的，無差別的，不分皂白的;;== (a.) discriminating 有辨識能力的，有區別的;
critical,批評的，判斷的;;crit:判斷
hypocrite,(n.) 偽善者，偽君子;(記法：hypo(在下面)+crit(判斷)+e->在背後批評別人->偽君子)
hypocrisy,(n.) 虛偽，偽善
encrypt,將....譯成密碼;<-> decipher 解密;;;crypt:秘密
cryptic,(a.) 難以理解的，秘密的，隱密的;== mysterious
cubicle,小房間，隔間;;cub:睡
