dignity,"尊嚴，莊嚴;;dain, dign:高貴的"
disdain,"(n.) 輕蔑，鄙視;== scorn, despise, spurn;;<-> respect, admire, praise;;(記法：dis(=against)+dain(高貴的)->使不高貴的->輕蔑，鄙視)"
condemn,"責難，修飾;;damn, demn:損害"
decorate,裝飾，修飾;;decor:美，裝飾
decorous,(a.) 合宜的，高雅的;;<-> indecorous 無禮的;
decorum,(n.) 端莊，彬彬有禮，合宜
delete,刪除;;del:刪除，擦掉
deleterious,(a.) 有害的，有毒的(要刪除)
democracy,民主;;dem:人民
demotic,(a.) 大眾的，通俗的;
endemic,(a.) 地方性的;
dexterity,純熟，靈巧;;dexter:右邊的，熟練的
ambidextrous,(a.) 雙手靈巧的，十分靈巧的;;(記法：ambi(二)+dextr(右的)+ous)
dexterous,(a.) 靈巧的，熟練的
diary,日誌，日記;;di:白天，noct:夜晚
diurnal,(a.) 白天的，白晝的;<-> nocturnal
nocturnal,(a.) 夜晚的，夜間發生的;<-> diurnal;
quotidian,(a.) 日常的，平常的;
dilemma,"兩難，困境;[類] predicament, quandary;;di, du:雙"
dichotomy,(n.) 二分法，矛盾，分歧
dilatory,(a.) 慢吞吞的，磨蹭的;== tardy;;(記法：di(兩)+lat(放)+ory->兩種選擇->猶豫->慢吞吞的)
divergent,(a.) 分歧的，相異的;
dubious,(a.) 有問題的;
duplicity,(n.) 欺騙行為，狡詐行徑;
predict,"預測;;dic, dict:說話，命令"
abdicate,(v.) 正式放棄，退位，辭職;(記法：ab(離開)+dic(命令)+act->不再命令->退位，辭職)
benediction,(n.) 祝福，祈禱;(記法：bene(好)+dict(說話)+ion->說好話->祝福，祈禱)
dictate,(v.) 口述，命令
indict,(v.) 控訴，起訴
malediction,(n.) 咒罵，壞話;;(記法：male(壞)+dict(說話)+ion)
predicament,"(n.) 困境，窘境;;[類] dilemma, quandary;(記法：pre(預先)+dic(命令)+ament->預先被命令了->左右為難->困境，窘境)"
valediction,(n.) 告別演說;(記法：vale(告別)+dict(說)+ion)
verdict,(v.) 判決，決定;(記法：ver(真實)+dict(說))
doctor,博士;;doc: teach教
didactic,(a.) 說教的，教導的
docile,(a.) 馴服的，亦駕馭的
doctrinaire,(a.) 教條的，迂腐的
condolence,弔唁、慰問;;dol:痛
doleful,(a.) 悲傷的，憂鬱的;== mournful;;(記法：dole(痛)+ful(多...的))
dolorous,(a.) 悲痛的，憂傷的;== sorrowful;;(記法：dolor(美金)+ous(多...的)->去美國很花錢->悲痛的)
indolent,"(a.) 懶惰的;== lazy, inert;"
domain,領土，領域;;dom:家
predominant,(a.) 佔優勢的，佔支配地位的;;(記法：先前有領土的)
donate,捐贈，贈送;;don:給予
condone,(v.) 原諒，寬恕;(記法：給予理解->寬恕，原諒)
dormitory,宿舍，寢室;;dorm:睡眠
dormant,(a.) 休眠的，靜止的;(記法：聽起來像冬眠)
endorse,背書，贊同;;dors:背
dogma,"教條，教義;;dog, dox:觀點，思想"
dogmatism,(n.) 教條主義
heterodox,(a.) 異端的，非正統的
paradox,(n.) 悖論，亦非而是的議論;<-> heterodox; orthodox;
orthodox,(a.) 正統的，傳統的，習俗的，通常的;(記法：ortho(正)+dox(思想))
adroit,"靈巧的，熟練的;== dexterous, nimble;;;droit:右邊，擅長"
conduct,"品德，行為;;duct, duc:引導"
adduce,(v.) 引用，舉例
conducive,(a.) 有助的，有益的，促成的;
deduce,(v.) 演繹，推斷
deduct,(v.) 減除，扣除
seductive,(a.) 誘惑的，引人注意的，有魅力的;== (v.) seduce 引誘
due,到期的;;due:放
subdue,(v.) 征服，壓制，減輕
endure,忍受，忍耐;;dur:持久，堅硬
obdurate,(a.) 固執的，頑固的
exempt,免除，豁免;(記法：ex(出)+empt(買，拿)->拿出去->免除);;empt:買，拿
peremptory,(a.) 專橫的，不容反抗的;== domineering(跋扈的);;(記法：per(完全)+empt(買)+ory->全部買下來->專橫)
preempt,(v.) 已先買權取得，取代;(記法：pre(預先)+empt(買)->先買->已先買權取得)
equal,相等的;;equ:相等，公平
adequate,(a.) 足夠的;== sufficient;;<-> inadequate;;(記法：ad(使)+equ(平等))
egalitarian,(a.) 主張人人平等的
equable,(a.) 穩定的，不變的;<-> equitable 公正的，合理的
equanimity,(n.) 鎮定，沉著;(記法：事情發生了自己仍然和之前相同->沉著)
equate,(v.) 認為....相等或相仿
equilibrium,(n.) 平衡
equitable,(a.) 公正的，合理的;<-> equable 穩定的，不變的
equivalent,(a.) 相等的，等值的
equivocal,(a.) 模稜兩可的，不明確的，不確定的
iniquitous,(a.) 極不公正的，邪惡的
error,錯誤;;err:犯錯，流浪
aberrant,(a.) 越軌的，異常的
errand,(n.) 差事，差使
errant,(a.) 錯誤的，去不正當地方的，遊歷的
erratic,(a.) 反覆無常的，古怪的
erroneous,(a.) 錯誤的，不正確的
exert,運用(力量);;ert:力量，動
inert,(a.) 惰性的，行動遲鈍的;;== indolent;
essential,必要的，本質的;;ess:存在
quintessential,(a.) 精髓的，典型的;(記法：quint(五)+essential(必要的)->組成世界的五種物質->榜樣，精華)
aesthetic,美學的，有審美感的;;esthe:感覺
ethics,倫理學，道德學;;ethn:種族
ethos,(n.) 道德風貌，思潮，信仰，社會（或民族等）的精神特質;性格；氣質
fame,名聲;;fa:說
affable,(a.) 和藹可親的，容易親近的
defamatory,(a.) 破壞名譽的，誹謗的;
factual,"真實的，事實的;;fac, fact:做"
efficacious,(a.) 有效的，靈驗的
facile,(a.) 容易做的，膚淺的
facility,(n.) 才能，資質，容易做好事情的能力
factotum,(n.) 雜工，打雜
preface,序言，緒言;;face:臉，面
efface,(v.) 擦掉，抹去
facade,(n.) 建築物的正面，(虛偽的)外表
facetious,(a.) 輕浮的，好開玩笑的;(記法：face(臉)+ous(多...的)->臉很多->扮開心扮難過逗人笑->好開玩笑的)
multifaceted,(a.) 多面向的
