obfuscate,使困惑，使迷糊;;fusc:黑暗，糊塗
refute,反駁，駁斥;== prove to be wrong;;;fut:打，限制
refutable,(a.) 可駁倒的
genetic,遺傳的，起源低;;gene:基因
genealogy,(n.) 家譜，宗譜;
genesis,(n.) 創始，起源;== origin;
genome,(n.) 基因組，染色體組
generic,(a.) 通稱的，種類的;
genre,(n.) 文藝作品之類型
generator,發電機;;gen:產生，生產
congenial,(a.) 意氣相投的，性情好的
degenerate,(v.) 惡化，衰退，退化
engender,(v.) 使產生，引起
genial,"(a.) 和藹的，親切的，友好的;== kindly, pleasant, sociable;"
heterogeneous,(a.) 異類的，不同的;(記法：herero(異)+gen(產生)+eous)
homogeneous,(a.) 同種的，同質的
indigenous,(a.) 土產的，本地的，天生的
ingenious,(a.) 聰明的，有發明天才的
ingenuous,(a.) 純樸的，單純的
disingenuous,(a.) 不誠實的，虛偽的
germ,:胚芽，細菌
germane,"(a.) 有密切關係的，貼切的;== fitting, relevant"
germinate,(v.) 發芽，發展
digest,消化，吸收;;gest:管道
ingest,(v.) 吞下，嚥下
petroglyph,岩石畫;;glyph:寫，刻
hieroglyph,(n.) 象形文字，圖畫文字
grain,穀物，小的硬粒;;gran:穀物，顆粒
ingrain,(v.) 使...根深蒂固
grand,:大，雄偉
aggrandize,(v.) 加大，強化
grandiloquence,(n.) 豪言壯語，誇大之言;(記法：grand(大)+i(SE)+liqu(說)+ence)
grandiose,"(a.) 宏偉的，誇大的;== pompous(浮誇的), grand(壯麗的);"
calligraphy,書法，筆跡;;graph:寫，畫
demography,人口統計，人口學;(記法：demo(人民)+graphy(寫)->寫出人口數量->人口統計)
grateful,感謝的，感激的;;grat:感激
gratify,(v.) 使高興，使滿足
ingrate,(n.) 忘恩負義的人;(記法：in(不)+grat(感激)+e)
ingratiate,(v.) 使得到歡心，迎合
ingratiating,"(a.) 討好的，諂媚的;== endearing, flattering, obsequious, fawning, sycophantic;;(記法：in(加強語氣)+grat(感激)->不停感激的->諂媚討好的)"
gravity,重力，嚴重性;;grav:重
aggravate,(v.) 加重，惡化;[類] exacerbate
aggregate,(v.) 集合，合計;;greg:群，團體
egregious,(a.) 過分的，驚人的;== flagrant;
gregarious,(a.) 群居的，愛社交的
aggression,侵略;;gress:走
digressive,(a.) 離題的，枝節的
transgress,(v.) 冒犯，違背;(記法：trans(超過)+gress(走)->超越界限的->冒犯)
congruent,適合的，一致的;;gru:一致
incongruous,(a.) 不協調的，不一致的;
happen,發生;;hap:運氣
haphazard,"(a.) 無計畫的，任意的，偶然的;== chance, random;(記法：hap(=luck運氣)+hazard(冒險)->無計畫是種冒險);(第二種記法：happen+hazard = 隨機，偶然)"
herald,"(n.) 傳令官;(v.) 預示，先兆;;har, her:軍隊"
harbinger,(n.) 先兆，通報者
inherit,繼承;;her:繼承
heredity,(n.) 遺傳
herb,藥草;;herb:草
herbivorous,(a.) 草食的;(記法：herb(草)+i+vor(吃)+ous)
adhere,黏著，堅持;;here: stick to 沾黏
adherent,(n.) 擁護者，信徒
coherent,(a.) 一致的，協調的
heresy,異教，異端邪說;;here:異端
heretical,(a.) 異教的，異端的
hilarious,極可笑的;;hilar:高興
exhilarate,(v.) 使振奮，使高興
horrific,可怕的;;hor:恨，怕
abhorrent,"(a.) 可恨的，討厭的;== disgusting, hateful;"
hortatory,(a.) 勸告的，忠告的;;hort: encourage 激勵
hortative,(a.) 勸告的，獎勵的;== advisory
human,人;;hum:人
inhumane,(a.) 不近人情的，慘忍的;;[類] cruel
humble,卑微的，簡陋的，謙虛的;(記法：接近地的);;hum:地
humdrum,(a.) 單調的，過分平凡的，乏味的;
humility,(n.) 謙遜，謙恭
hydrogen,氫;;hydr:水
hydrate,(v.) 使成水化物
icon,:形象，偶像
iconoclastic,(a.) 破壞偶像的，打破舊習的;(記法：icon(偶像)+klan(打破))
ideology,"意識形態;;ide, idea:思想"
idiom,慣用語，成語;;idio:個體的，獨特的
idiosyncratic,(a.) 有氣質的，有特性的
idol,形象，偶像
idolatrize,(v.) 奉為偶像，盲目崇拜
imitate,模仿;;imit:模仿
emulate,(v.) 仿效，模仿
imitative,(a.) 模仿的
imitable,(a.) 可模仿的;<-> inimitable
imperial,帝王的，至尊的;;imper:命令
imperative,(a.) 必要的，緊急的，極重要的
imperious,(a.) 傲慢的，專橫的
island,島;;insul:島
insular,(a.) 島嶼的，心胸狹窄的
integrity,"正直，誠實;;integr, ingr:完整"
disintegrate,(v.) 使破碎，使瓦解，使崩潰
transit,通過，運輸;;it:走
circuitous,(a.) 迂迴的，繞圈子的
itinerant,(a.) 巡迴的，遊歷的
transitional,(a.) 轉變的，變遷的
transitory,"(a.) 短暫的，瞬息的;== temporary, transient;"
