manual,"手冊，;;man, manu:手"
emanate,(v.) 散發，發出
maneuver,(v.) 調動，機動;== manoeuvre
manipulate,(v.) 操作，運用
manuscript,(a.) 手寫的，原稿的;(記法：manu(手)+script(寫))
demand,要求;;mand:命令
demanding,(a.) 嚴格的，要求高的
mandate,(n.) 命令，指令;== mandatory (a.)
mandatory,(a.) 命令的，指令的
reprimand,(v.) 訓斥，斥責，譴責
monomania,偏執狂，狂熱病;(記法：mono(單一)+mania(狂熱));;mania:狂熱
mania,(n.) 狂熱，瘋狂
remarkable,值得注意的，卓越的;;mark:標記
demarcate,(v.) 劃分，劃界
hallmark,(n.) 品質保證，保證書
medicine,醫藥;;med:治療
remedy,(n.) 治療，治療法，藥物
medium,媒介，方法，中間;;medi:中間
mediate,(v.) 調停解決
mediocre,"(a.) 平凡的，平庸的;== common, second-rate"
intermediary,(n.) 仲裁者，中間物
meditate,沈思，冥想;;medita: to ponder 思考
premeditate,(v.) 預先考慮，預謀
ameliorate,使改善，改進;== meliorate 改進，改善;;melior:變好
menace,恐嚇，威脅;;men: threat 威脅
amenable,"(a.) 肯服從的，願服從的;== submissive, obedient;;(記法：a(=ad使)+men(威脅)->被威脅，必須服從)"
demean,(v.) 貶低，貶損
demeanor,(n.) 舉動，行為，風度
menacing,(a.) 威脅的，不詳的
minatory,(a.) 威脅的
amendment,修正案，改正;;mend:修補，改善
amend,(v.) 校訂，修正
emend,(v.) 校訂，修改
mendacious,"(a.) 虛偽的，說謊的;== (n.) mendacity, untruthful, lying;;(記法：mend(修補)+acious->修補太多->撒謊)"
mendacity,(n.) 虛偽
measure,測量;;mens:測量
commensurate,(a.) 同樣大小的，相稱的;(記法：com(相同)+mens(測量)+urate)
immense,(a.) 巨大的，廣大的，無邊無際的;(記法：im(不)+mens(測量)+e->不能測量的)
incommensurate,(a.) 不能相稱的，不能配合的
measured,(a.) 精確的，慎重的
mental,心智的;;ment:思考，心智
mentor,(n.) 導師
commercial,商業的;;merc:貿易，報酬
mercenary,(a.) 為金錢的，有利可圖的，貪財的
centimeter,"公分;;meter, metr:儀表，測量"
symmetry,(n.) 對稱，均衡;(記法：sym(共同)+metr(測量)+y)
perimeter,(n.) 周長;(記法：peri(周圍)+meter(測量))
prominent,卓越的;;min:突出
eminence,(n.) 卓越，顯著，著名
imminent,(a.) 即將發生的，逼近的;[類] impending
preeminent,"(a.) 卓越的，顯著的;== outstanding, supreme;"
reminder,"提醒物;;min, mind:思維"
reminisce,(v.) 懷舊，追憶
reminiscent,(a.) 回憶往事的，懷舊的
minutes,會議記錄;;minu:變小，減少
diminutive,(a.) 非常小的，極小的
minuscule,(a.) 寫小字的，微小的
admire,欽佩，讚賞;;mir:驚奇
mire,(a.) 泥沼，污泥;(v.) 使陷入困境
missile,"飛彈，導彈;;miss, mis, mit:投送發"
demise,(n.) 死亡，財產轉讓
dismiss,(v.) 讓...離開，把...打發走
intermittent,(a.) 間接的，時斷時續的
remiss,(v.) 疏忽的，不留心的;(記法：re(一再)+miss(錯過)->對於機會一再錯過->疏忽的，不留心的)
remission,(n.) 寬恕，赦免
submission,(n.) 屈從，歸順，投降
surmise,(v.) 推測，猜測，臆測;(記法：sur(超越)+mis(丟)->投石問路->猜測，臆測)
unremitting,(a.) 不間段的，持續的;
mitigate,使緩和，減輕;;mit:小，輕
mitigant,(a.) 緩和的，減輕的
model,模特兒;;mod:樣式
moderate,(a.) 適度的，有節制的
modulate,(v.) 調整，控制，緩和
outmoded,"(a.) 老式的，過時的;[類] antiquated, obsolete, archaic"
emollient,軟化劑，潤膚劑;;moll:軟
mollify,(v.) 緩和，減輕，使安靜
admonish,警告，告誡;== reprove;;;mon:警告
demonstrate,證明;;monstr:表示
demonstrative,(a.) 證明性的，喜怒形於色的;<-> undemonstrative (a.) 不露感情的;
demonstrable,(a.) 可證明的，顯而易見的
remonstrance,(n.) 抗議，告誡，進鍊
moral,道德的;;mor:習俗，民心
demoralize,(v.) 使士氣低落
moralistic,(a.) 說教的，教訓的
amorphous,無定型的;;morph:形狀、型態
morph,vt. 使變形
metamorphose,(v.) 使變形，使變質;(記法：meta(變化)+morph(形態)+ose)
remorse,"悔恨，懊悔;;mors, mord:咬"
mordant,(a.) 諷刺的，尖酸的;(記法：音讀摩登->諷刺很老)
mortgage,抵押貸款，房貸;;mort:死亡
morbid,(a.) 病態的，不健康的
moribund,(a.) 即將結束的，垂死的;(記法：mori(=mort死亡)+bund(bound))
mortify,(v.) 使感屈辱，使失面子，使羞愧;(記法：使想死)
motivate,給...動機，刺激;;mot:動
locomotive,(a.) 移動的
mountainous,多山的，有山的;;mount:山，上升
paramount,(a.) 至高無上的，最重要的，主要的;== supreme;;(記法：para(旁邊，靠近)+mount(山))
surmount,(v.) 克服，戰勝;(記法：sur(超越)+mount(山));== overcome;
tantamount,(a.) 同等的，相當於;(記法：兩個tt的山->山差不多的->同等的)
municipal,(a.) 市立的;;mun:公共
communal,(a.) 全體共有的，共享的
immune,(a.) 免疫的，免除的
municipality,(n.) 自治市，市政當局
munificent,(a.) 寬宏的，慷慨的
