puritan,(n.) 清教徒 (adj.) 清教徒的
cooperation,(n.) 合作 :合作社 (= cooperative)
diversity,(n.) 多樣性; the diversity policy of American university 美國大學的多樣化政策; diversify (v.) 使多樣化
proponent,(n.) 擁護者，支持者
integrate,(v.) 使融入，使整合 (= combine) : 廢除種族差別待遇
bison,(n.) 北美野牛(經常出現在與原仕民狩獵相關的文章中)
nomadic,(adj.) 遊牧的
verge,(n.) 邊緣; on the verge of bankruptcy 瀕臨破產
Pueblo,(n.) 普埃布羅族 (美國西南部及墨西哥北部的印地安部落)
subterranean,(adj.) 地下的; subterranean rooms 地下室
adobe,(n.) 泥磚
immigrant,(n.) (自外國移入的) 移民
plantaion,(n.) (熱帶的) 大農場，農園 ; 造林地
colonical,adj.殖民地的;擁有殖民地的
declare,(vt.)斷言，宣稱;宣佈，宣告，聲明;申報(vi.)聲明，表明; declare war on/upon/against...
declaration,(n.)宣佈，宣告，聲明，宣言; the Declaration of Independence 獨立宣言
patriot,n.愛國者，愛國主義者
patriotism,愛國主義
act,(字首常大寫) 法案，法令; the Act of Congress 國會法案
legislation,(n.)立法，法律; legislator 立法委員
provision,n. 供應，提供，供給準備，防備食物和飲料規定，條款，規定
delegate,v.委任；n.代表; delegates to the conference
delegation,代表團，派遣委員團，派遣代表
consent,(vi.n.)同意，贊成
abolish,(v.廢除:制度，法律等)(=abrogate/do away with); abolish the death penalty
abolition,n. 廢除，革除; abolitionist n. 主張廢除奴隸制度的人
repeal,(法令)廢止，撤消(vt.)廢止，撤消，放棄
fort,(n.) 堡壘、要塞
raid,n.vt.突襲;(警方)突然搜查; make a raid on an enemy's camp
surrender,(vt.)交出，放棄，使投降，讓與，聽任(vi.)投降，自首交出，放棄，投降; surrender the fort to the enemy
recession,n.(一時的)經濟衰退; 經濟不景氣
depression,n.壓抑，抑制，沮喪;蕭條，衰退; The great Depression
halt,(n.4)暫停，停止;終止
the New Deal,新政 (1929年經濟大恐慌， 小羅斯福總統所提出一系列的經濟、社會政策)
tackle,(vt.) 處理，對付(難題)
melting pot,[n.] 大熔爐（指許多不同的人及思想共存、融合的地方）
mobilize,(vt.)動員，賦與可動性，使流通(vi.)動員
abolitionism,n.廢除奴隸制度
eradicate,(vt.)根除，撲滅，根絕，消滅
nullify,(vt.)使無效，廢棄，取消; nullify a treaty 使條約失效
desegregation,n.廢除種族隔離
Civil Rights Movement,N.黑人民權運動
racial,(a.)人種的，種族的
racism,(n. [U]) 種族歧視
racist,(n. [C]) 種族主義者
integration,n.整合；結合，(種族的)融合
barrier,n. [C] 隔閡；障礙；屏障；障礙物
disparity,n. 不同，差異; disparity in prestige 身分懸殊
hotbed,(n.) 溫床; a hotbed of crime 犯罪的溫床
poverty line,n. 貧窮線(區分是否貧困的最低收入)
remedy,(n.6)治療;治療法;藥物; remedy for air pollution
alienate,(v)使疏遠、離間; alienate liberals from society
mobility,n. (階級的、職業的)流動性；移動性；流動機動性遷移率
congress,n. 代表大會；會議；美國國會（大寫）
the Senate,美國參議院; <> the House of Representatives 美國眾議院
Democrat,n.民主黨員
Republican,共和主義者，共和黨員(a.)共和政體的，共和國的，共和主義的
nomination,(n.10)提名;任命; nominee 被提名人
presidency,總統職位，總統任期;統轄，主宰，支配
inauguration,n.總統就職典禮
inaugural address,就職演說
